"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"520","Wollongong","Mar.10","180","270",370,"450"
"521","Rest of NSW","Mar.10","145","200",265,"340"
"522","New South Wales","Mar.10","325","350",345,"425"
"523","GREATER SYDNEY","Jun.10","380","410",420,"530"
"524","Inner Ring","Jun.10","420","545",725,"1050"
"525","Ashfield","Jun.10","320","385",530,"632.5"
"526","Botany Bay","Jun.10","320","395",557.5,"-"
"527","Lane Cove","Jun.10","345","410",625,"975"
"528","Leichhardt","Jun.10","380","570",710,"915"
"529","Marrickville","Jun.10","310","440",600,"750"
"530","Mosman","Jun.10","400","505",880,"1500"
"531","North Sydney","Jun.10","400","550",780,"1212.5"
"532","Randwick","Jun.10","390","495",650,"1000"
"533","Sydney","Jun.10","450","600",750,"900"
"534","Waverley","Jun.10","420","540",850,"1200"
"535","Woollahra","Jun.10","420","570",975,"1800"
"536","Middle Ring","Jun.10","360","390",500,"610"
"537","Auburn","Jun.10","320","370",430,"500"
"538","Bankstown","Jun.10","252.5","350",400,"500"
"539","Burwood","Jun.10","285","420",520,"685"
"540","Canterbury","Jun.10","260","320",460,"550"
"541","Canada Bay","Jun.10","430","510",635,"750"
"542","Hunters Hill","Jun.10","-","490",670,"1275"
"543","Hurstville","Jun.10","280","360",480,"580"
"544","Kogarah","Jun.10","310","390",500,"600"
"545","Ku-Ring-Gai","Jun.10","390","500",680,"885"
"546","Manly","Jun.10","440","550",800,"1200"
"547","Parramatta","Jun.10","320","360",430,"525"
"548","Rockdale","Jun.10","330","400",500,"575"
"549","Ryde","Jun.10","300","370",550,"620"
"550","Strathfield","Jun.10","365","425",520,"615"
"551","Willoughby","Jun.10","450","520",750,"995"
"552","Outer Ring","Jun.10","250","320",350,"480"
"553","The Hills Shire","Jun.10","322.5","400",465,"582.5"
"554","Blacktown","Jun.10","210","310",350,"450"
"555","Blue Mountains","Jun.10","205","260",315,"400"
"556","Camden","Jun.10","-","315",380,"465"
"557","Campbelltown","Jun.10","235","270",325,"430"
"558","Fairfield","Jun.10","200","272.5",380,"430"
"559","Gosford","Jun.10","190","270",340,"450"
"560","Hawkesbury","Jun.10","175","260",345,"427.5"
"561","Holroyd","Jun.10","220","340",390,"475"
"562","Hornsby","Jun.10","350","410",500,"650"
"563","Liverpool","Jun.10","200","285",380,"470"
"564","Penrith","Jun.10","190","260",330,"412.5"
"565","Pittwater","Jun.10","330","460",660,"810"
"566","Sutherland Shire","Jun.10","280","380",527.5,"625"
"567","Warringah","Jun.10","350","460",675,"850"
"568","Wollondilly","Jun.10","-","240",300,"445"
"569","Wyong","Jun.10","190","260",300,"385"
"570","Rest of GMR","Jun.10","180","275",330,"400"
"571","Cessnock","Jun.10","150","245",272.5,"360"
"572","Kiama","Jun.10","-","270",360,"430"
"573","Lake Macquarie","Jun.10","170","265",325,"420"
"574","Maitland","Jun.10","160","250",300,"395"
"575","Newcastle","Jun.10","190","300",360,"420"
"576","Port Stephens","Jun.10","167.5","240",300,"380"
"577","Shellharbour","Jun.10","185","260",320,"420"
"578","Wollongong","Jun.10","182.5","290",350,"440"
"579","Rest of NSW","Jun.10","150","200",270,"350"
"580","New South Wales","Jun.10","340","350",350,"440"
"581","GREATER SYDNEY","Sep.10","380","420",430,"540"
"582","Inner Ring","Sep.10","420","550",725,"950"
"583","Ashfield","Sep.10","320","380",550,"-"
"584","Botany Bay","Sep.10","310","400",545,"800"
"585","Lane Cove","Sep.10","350","430",650,"950"
"586","Leichhardt","Sep.10","390","550",730,"925"
"587","Marrickville","Sep.10","317.5","430",600,"755"
"588","Mosman","Sep.10","400","540",899.5,"1770"
"589","North Sydney","Sep.10","415","550",750,"1200"
"590","Randwick","Sep.10","400","500",670,"975"
"591","Sydney","Sep.10","460","610",780,"820"
"592","Waverley","Sep.10","412.5","550",795,"1075"
"593","Woollahra","Sep.10","420","580",960,"1225"
"594","Middle Ring","Sep.10","350","400",499,"650"
"595","Auburn","Sep.10","390","400",450,"575"
"596","Bankstown","Sep.10","220","350",420,"500"
"597","Burwood","Sep.10","292.5","440",555,"700"
"598","Canterbury","Sep.10","250","320",460,"590"
"599","Canada Bay","Sep.10","440","530",650,"825"
"600","Hunters Hill","Sep.10","-","450",650,"-"
"601","Hurstville","Sep.10","290","360",470,"560"
"602","Kogarah","Sep.10","300","380",520,"605"
"603","Ku-Ring-Gai","Sep.10","350","520",650,"950"
"604","Manly","Sep.10","430","560",800,"1100"
"605","Parramatta","Sep.10","320","365",430,"520"
"606","Rockdale","Sep.10","330","400",500,"580"
"607","Ryde","Sep.10","300","380",540,"680"
"608","Strathfield","Sep.10","340","420",520,"620"
"609","Willoughby","Sep.10","455","540",750,"995"
"610","Outer Ring","Sep.10","250","330",360,"480"
"611","The Hills Shire","Sep.10","310","400",480,"610"
"612","Blacktown","Sep.10","215","320",360,"465"
"613","Blue Mountains","Sep.10","190","267.5",320,"420"
"614","Camden","Sep.10","210","320",377.5,"480"
"615","Campbelltown","Sep.10","250","270",340,"420"
"616","Fairfield","Sep.10","220","280",380,"450"
"617","Gosford","Sep.10","195","275",340,"450"
"618","Hawkesbury","Sep.10","185","280",350,"440"
"619","Holroyd","Sep.10","210","340",410,"495"
"620","Hornsby","Sep.10","342.5","412.5",500,"615"
"621","Liverpool","Sep.10","220","290",383,"480"
"622","Penrith","Sep.10","220","265",340,"420"
"623","Pittwater","Sep.10","340","475",692.5,"850"
"624","Sutherland Shire","Sep.10","290","380",520,"680"
"625","Warringah","Sep.10","360","465",650,"850"
"626","Wollondilly","Sep.10","200","250",330,"395"
"627","Wyong","Sep.10","180","260",300,"380"
"628","Rest of GMR","Sep.10","180","280",330,"400"
"629","Cessnock","Sep.10","150","230",280,"365"
"630","Kiama","Sep.10","-","300",360,"425"
"631","Lake Macquarie","Sep.10","170","270",325,"430"
"632","Maitland","Sep.10","170","250",320,"395"
"633","Newcastle","Sep.10","193","301",360,"420"
"634","Port Stephens","Sep.10","190","230",300,"370"
"635","Shellharbour","Sep.10","180","250",350,"450"
"636","Wollongong","Sep.10","190","295",370,"472.5"
"637","Rest of NSW","Sep.10","150","210",275,"350"
"638","New South Wales","Sep.10","340","360",350,"440"
"639","GREATER SYDNEY","Dec.10","390","430",440,"550"
"640","Inner Ring","Dec.10","430","550",750,"1050"
"641","Ashfield","Dec.10","320","400",525,"-"
"642","Botany Bay","Dec.10","335","400",590,"-"
"643","Lane Cove","Dec.10","360","450",600,"1100"
"644","Leichhardt","Dec.10","400","560",745,"1000"
"645","Marrickville","Dec.10","315","430",620,"760"
"646","Mosman","Dec.10","400","525",872.5,"1800"
"647","North Sydney","Dec.10","420","560",800,"995"
"648","Randwick","Dec.10","400","510",707.5,"1000"
"649","Sydney","Dec.10","460","630",800,"850"
"650","Waverley","Dec.10","440","600",880,"1325"
"651","Woollahra","Dec.10","430","610",995,"1550"
"652","Middle Ring","Dec.10","360","400",500,"650"
"653","Auburn","Dec.10","385","397.5",450,"550"
"654","Bankstown","Dec.10","180","350",430,"510"
"655","Burwood","Dec.10","300","430",535,"700"
"656","Canterbury","Dec.10","265","320",460,"510"
"657","Canada Bay","Dec.10","442.5","527.5",650,"800"
"658","Hunters Hill","Dec.10","-","517.5",747.5,"-"
"659","Hurstville","Dec.10","320","375",480,"600"
"660","Kogarah","Dec.10","300","395",500,"640"
"661","Ku-Ring-Gai","Dec.10","385","530",700,"980"
"662","Manly","Dec.10","450","580",850,"1272.5"
"663","Parramatta","Dec.10","310","370",440,"525"
"664","Rockdale","Dec.10","330","400",520,"640"
"665","Ryde","Dec.10","310","380",550,"655"
"666","Strathfield","Dec.10","350","420",532,"650"
"667","Willoughby","Dec.10","450","550",720,"922.5"
"668","Outer Ring","Dec.10","250","340",380,"490"
"669","The Hills Shire","Dec.10","275","410",475,"600"
"670","Blacktown","Dec.10","200","330",360,"460"
"671","Blue Mountains","Dec.10","200","287.5",330,"420"
"672","Camden","Dec.10","-","300",380,"470"
"673","Campbelltown","Dec.10","245","280",340,"410"
"674","Fairfield","Dec.10","220","280",380,"450"
"675","Gosford","Dec.10","200","280",350,"450"
"676","Hawkesbury","Dec.10","227.5","280",350,"460"
"677","Holroyd","Dec.10","222.5","350",400,"465"
"678","Hornsby","Dec.10","345","430",500,"650"
"679","Liverpool","Dec.10","210","300",400,"470"
"680","Penrith","Dec.10","205","270",350,"430"
"681","Pittwater","Dec.10","350","497.5",700,"862.5"
"682","Sutherland Shire","Dec.10","290","400",532.5,"677.5"
"683","Warringah","Dec.10","387.5","480",680,"872.5"
"684","Wollondilly","Dec.10","177.5","250",327.5,"450"
"685","Wyong","Dec.10","180","260",312.5,"390"
"686","Rest of GMR","Dec.10","185","280",342.5,"420"
"687","Cessnock","Dec.10","157.5","240",292.5,"360"
"688","Kiama","Dec.10","-","260",390,"430"
"689","Lake Macquarie","Dec.10","190","275",340,"430"
"690","Maitland","Dec.10","170","250",320,"400"
"691","Newcastle","Dec.10","190","315",370,"450"
"692","Port Stephens","Dec.10","190","240",320,"380"
"693","Shellharbour","Dec.10","190","235",340,"450"
"694","Wollongong","Dec.10","190","300",382.5,"490"
"695","Rest of NSW","Dec.10","150","210",280,"350"
"696","New South Wales","Dec.10","350","370",360,"450"
"697","GREATER SYDNEY","Mar.11","390","430",450,"570"
"698","Inner Ring","Mar.11","440","560",750,"1000"
"699","Ashfield","Mar.11","340","395",545,"680"
"700","Botany Bay","Mar.11","430","520",585,"800"
"701","Lane Cove","Mar.11","360","445",597.5,"1150"
"702","Leichhardt","Mar.11","380","567.5",720,"975"
"703","Marrickville","Mar.11","320","435",620,"750"
"704","Mosman","Mar.11","402.5","550",900,"2050"
"705","North Sydney","Mar.11","420","575",800,"1300"
"706","Randwick","Mar.11","420","520",720,"1010"
"707","Sydney","Mar.11","470","630",827.5,"850"
"708","Waverley","Mar.11","450","600",800,"1175"
"709","Woollahra","Mar.11","450","600",980,"1650"
"710","Middle Ring","Mar.11","340","400",500,"680"
"711","Auburn","Mar.11","385","380",460,"577.5"
"712","Bankstown","Mar.11","150","355",420,"530"
"713","Burwood","Mar.11","300","435",585,"677.5"
"714","Canterbury","Mar.11","260","330",480,"550"
"715","Canada Bay","Mar.11","400","520",650,"825"
"716","Hunters Hill","Mar.11","-","460",660,"-"
"717","Hurstville","Mar.11","300","380",500,"650"
"718","Kogarah","Mar.11","307.5","400",520,"650"
"719","Ku-Ring-Gai","Mar.11","410","550",700,"1000"
"720","Manly","Mar.11","450","595",850,"1375"
"721","Parramatta","Mar.11","330","375",450,"550"
"722","Rockdale","Mar.11","320","410",550,"600"
"723","Ryde","Mar.11","320","395",550,"680"
"724","Strathfield","Mar.11","320","430",550,"640"
"725","Willoughby","Mar.11","460","550",750,"1050"
"726","Outer Ring","Mar.11","260","350",380,"500"
"727","The Hills Shire","Mar.11","295","410",480,"650"
"728","Blacktown","Mar.11","195","320",365,"480"
"729","Blue Mountains","Mar.11","200","290",340,"440"
"730","Camden","Mar.11","250","345",385,"480"
"731","Campbelltown","Mar.11","250","290",350,"420"
"732","Fairfield","Mar.11","220","280",390,"450"
"733","Gosford","Mar.11","210","285",360,"450"
"734","Hawkesbury","Mar.11","215","280",350,"460"
"735","Holroyd","Mar.11","250","355",410,"495"
"736","Hornsby","Mar.11","360","430",520,"630"
"737","Liverpool","Mar.11","245","290",400,"490"
"738","Penrith","Mar.11","200","270",350,"450"
"739","Pittwater","Mar.11","360","500",700,"950"
"740","Sutherland Shire","Mar.11","300","400",540,"685"
"741","Warringah","Mar.11","370","480",700,"920"
"742","Wollondilly","Mar.11","-","250",340,"450"
"743","Wyong","Mar.11","175","267.5",310,"400"
"744","Rest of GMR","Mar.11","180","295",350,"420"
"745","Cessnock","Mar.11","170","245",300,"380"
"746","Kiama","Mar.11","-","300",392.5,"430"
"747","Lake Macquarie","Mar.11","180","286",350,"450"
"748","Maitland","Mar.11","170","260",320,"410"
"749","Newcastle","Mar.11","175","330",380,"400"
"750","Port Stephens","Mar.11","165","270",320,"390"
"751","Shellharbour","Mar.11","-","250",350,"460"
"752","Wollongong","Mar.11","195","300",395,"472.5"
"753","Rest of NSW","Mar.11","150","220",280,"360"
"754","New South Wales","Mar.11","340","370",360,"450"
"755","GREATER SYDNEY","Jun.11","400","440",450,"550"
"756","Inner Ring","Jun.11","450","580",795,"1100"
"757","Ashfield","Jun.11","350","420",595,"-"
"758","Botany Bay","Jun.11","345","430",650,"-"
"759","Lane Cove","Jun.11","370","450",680,"1187.5"
"760","Leichhardt","Jun.11","415","592.5",780,"920"
"761","Marrickville","Jun.11","325","450",650,"725"
"762","Mosman","Jun.11","395","550",1000,"1750"
"763","North Sydney","Jun.11","450","595",830,"1250"
"764","Randwick","Jun.11","420","520",750,"1100"
"765","Sydney","Jun.11","490","650",837.5,"862.5"
"766","Waverley","Jun.11","450","600",900,"1600"
"767","Woollahra","Jun.11","450","615",1100,"2000"
"768","Middle Ring","Jun.11","360","410",520,"670"
"769","Auburn","Jun.11","390","385",470,"600"
"770","Bankstown","Jun.11","200","365",432.5,"525"
"771","Burwood","Jun.11","285","450",565,"730"
"772","Canterbury","Jun.11","270","340",495,"600"
"773","Canada Bay","Jun.11","465","550",650,"800"
"774","Hunters Hill","Jun.11","-","507.5",760,"-"
"775","Hurstville","Jun.11","300","380",495,"640"
"776","Kogarah","Jun.11","295","400",530,"672.5"
"777","Ku-Ring-Gai","Jun.11","470","550",742.5,"972.5"
"778","Manly","Jun.11","450","600",850,"1252.5"
"779","Parramatta","Jun.11","330","380",450,"527.5"
"780","Rockdale","Jun.11","350","400",540,"642.5"
"781","Ryde","Jun.11","320","410",580,"700"
"782","Strathfield","Jun.11","360","440",550,"685"
"783","Willoughby","Jun.11","460","560",797.5,"1212.5"
"784","Outer Ring","Jun.11","260","350",380,"495"
"785","The Hills Shire","Jun.11","282.5","450",480,"640"
"786","Blacktown","Jun.11","222.5","330",365,"480"
"787","Blue Mountains","Jun.11","197.5","290",340,"430"
"788","Camden","Jun.11","-","350",390,"495"
"789","Campbelltown","Jun.11","230","290",350,"420"
"790","Fairfield","Jun.11","210","290",390,"460"
"791","Gosford","Jun.11","190","290",360,"450"
"792","Hawkesbury","Jun.11","225","280",360,"475"
"793","Holroyd","Jun.11","250","360",420,"480"
"794","Hornsby","Jun.11","370","425",520,"650"
"795","Liverpool","Jun.11","220","300",400,"480"
"796","Penrith","Jun.11","220","270",355,"450"
"797","Pittwater","Jun.11","350","475",700,"920"
"798","Sutherland Shire","Jun.11","300","400",550,"680"
"799","Warringah","Jun.11","385","480",690,"875"
"800","Wollondilly","Jun.11","200","255",350,"422.5"
"801","Wyong","Jun.11","180","270",320,"420"
"802","Rest of GMR","Jun.11","192.5","290",350,"440"
"803","Cessnock","Jun.11","175","250",300,"400"
"804","Kiama","Jun.11","-","315",390,"450"
"805","Lake Macquarie","Jun.11","180","290",350,"451"
"806","Maitland","Jun.11","175","270",330,"425"
"807","Newcastle","Jun.11","190","330",390,"460"
"808","Port Stephens","Jun.11","192.5","260",320,"410"
"809","Shellharbour","Jun.11","225","250",350,"445"
"810","Wollongong","Jun.11","200","300",400,"500"
"811","Rest of NSW","Jun.11","160","220",290,"350"
"812","New South Wales","Jun.11","350","370",365,"450"
"813","GREATER SYDNEY","Sep.11","400","450",450,"560"
"814","Inner Ring","Sep.11","450","580",790,"1082.5"
"815","Ashfield","Sep.11","330","415",600,"725"
"816","Botany Bay","Sep.11","380","450",630,"-"
"817","Lane Cove","Sep.11","395","450",650,"1100"
"818","Leichhardt","Sep.11","430","610",770,"1075"
"819","Marrickville","Sep.11","345","460",650,"772.5"
"820","Mosman","Sep.11","400","550",950,"1900"
"821","North Sydney","Sep.11","450","580",800,"1200"
"822","Randwick","Sep.11","407.5","530",730,"1100"
"823","Sydney","Sep.11","480","650",850,"795"
"824","Waverley","Sep.11","450","592.5",850,"1225"
"825","Woollahra","Sep.11","460","600",980,"1750"
"826","Middle Ring","Sep.11","380","420",530,"700"
"827","Auburn","Sep.11","400","400",480,"580"
"828","Bankstown","Sep.11","200","360",440,"550"
"829","Burwood","Sep.11","310","460",567.5,"700"
"830","Canterbury","Sep.11","260","340",480,"580"
"831","Canada Bay","Sep.11","470","560",680,"850"
"832","Hunters Hill","Sep.11","-","450",750,"975"
"833","Hurstville","Sep.11","290","380",510,"650"
"834","Kogarah","Sep.11","300","420",505,"740"
"835","Ku-Ring-Gai","Sep.11","445","555",700,"950"
"836","Manly","Sep.11","450","600",850,"1350"
"837","Parramatta","Sep.11","320","390",450,"545"
"838","Rockdale","Sep.11","320","410",550,"700"
"839","Ryde","Sep.11","335","400",580,"750"
"840","Strathfield","Sep.11","380","450",550,"750"
"841","Willoughby","Sep.11","475","560",725,"997.5"
"842","Outer Ring","Sep.11","260","350",380,"500"
"843","The Hills Shire","Sep.11","310","440",500,"620"
"844","Blacktown","Sep.11","225","330",370,"480"
"845","Blue Mountains","Sep.11","210","300",342.5,"450"
"846","Camden","Sep.11","-","290",390,"480"
"847","Campbelltown","Sep.11","250","295",350,"420"
"848","Fairfield","Sep.11","200","300",400,"480"
"849","Gosford","Sep.11","200","290",360,"470"
"850","Hawkesbury","Sep.11","235","290",370,"475"
"851","Holroyd","Sep.11","250","360",420,"500"
"852","Hornsby","Sep.11","345","430",525,"650"
"853","Liverpool","Sep.11","240","310",410,"500"
"854","Penrith","Sep.11","230","275",360,"450"
"855","Pittwater","Sep.11","350","490",695,"900"
"856","Sutherland Shire","Sep.11","300","400",550,"700"
"857","Warringah","Sep.11","382.5","490",700,"880"
"858","Wollondilly","Sep.11","-","280",320,"450"
"859","Wyong","Sep.11","195","270",320,"420"
"860","Rest of GMR","Sep.11","200","300",350,"430"
"861","Cessnock","Sep.11","182.5","260",300,"400"
"862","Kiama","Sep.11","-","310",400,"485"
"863","Lake Macquarie","Sep.11","197.5","290",350,"430"
"864","Maitland","Sep.11","180","280",330,"420"
"865","Newcastle","Sep.11","210","330",395,"460.5"
"866","Port Stephens","Sep.11","180","250",320,"390"
"867","Shellharbour","Sep.11","215","270",350,"455"
"868","Wollongong","Sep.11","200","300",395,"500"
"869","Rest of NSW","Sep.11","155","220",290,"370"
"870","New South Wales","Sep.11","360","380",370,"460"
"871","GREATER SYDNEY","Dec.11","410","450",460,"570"
"872","Inner Ring","Dec.11","460","595",800,"1100"
"873","Ashfield","Dec.11","350","420",620,"-"
"874","Botany Bay","Dec.11","390","430",630,"-"
"875","Lane Cove","Dec.11","390","450",720,"1100"
"876","Leichhardt","Dec.11","420","590",765,"855"
"877","Marrickville","Dec.11","330","450",667.5,"850"
"878","Mosman","Dec.11","405","550",950,"1900"
"879","North Sydney","Dec.11","450","590",850,"997.5"
"880","Randwick","Dec.11","430","540",740,"1100"
"881","Sydney","Dec.11","500","660",850,"977.5"
"882","Waverley","Dec.11","495","630",950,"1375"
"883","Woollahra","Dec.11","450","620",995,"1600"
"884","Middle Ring","Dec.11","375","420",530,"670"
"885","Auburn","Dec.11","400","420",460,"580"
"886","Bankstown","Dec.11","210","380",440,"550"
"887","Burwood","Dec.11","330","450",560,"600"
"888","Canterbury","Dec.11","280","340",500,"600"
"889","Canada Bay","Dec.11","460","560",675,"812.5"
"890","Hunters Hill","Dec.11","-","-",620,"1500"
"891","Hurstville","Dec.11","300","390",520,"620"
"892","Kogarah","Dec.11","330","420",530,"650"
"893","Ku-Ring-Gai","Dec.11","420","555",705,"1010"
"894","Manly","Dec.11","450","600",915,"1400"
"895","Parramatta","Dec.11","320","390",460,"550"
"896","Rockdale","Dec.11","410","420",550,"650"
"897","Ryde","Dec.11","320","400",570,"690"
"898","Strathfield","Dec.11","350","450",535,"750"
"899","Willoughby","Dec.11","480","570",760,"1000"
"900","Outer Ring","Dec.11","280","350",390,"510"
"901","The Hills Shire","Dec.11","320","440",500,"650"
"902","Blacktown","Dec.11","232.5","340",380,"490"
"903","Blue Mountains","Dec.11","205","285",350,"440"
"904","Camden","Dec.11","270","350",400,"500"
"905","Campbelltown","Dec.11","260","310",360,"430"
"906","Fairfield","Dec.11","220","300",390,"465"
"907","Gosford","Dec.11","210","300",370,"480"
"908","Hawkesbury","Dec.11","250","300",377.5,"440"
"909","Holroyd","Dec.11","270","370",435,"522.5"
"910","Hornsby","Dec.11","345","430",530,"670"
"911","Liverpool","Dec.11","240","310",410,"515"
"912","Penrith","Dec.11","220","285",360,"450"
"913","Pittwater","Dec.11","350","500",790,"950"
"914","Sutherland Shire","Dec.11","310","420",560,"700"
"915","Warringah","Dec.11","395","510",720,"945"
"916","Wollondilly","Dec.11","-","280",330,"455"
"917","Wyong","Dec.11","185","275",325,"420"
"918","Rest of GMR","Dec.11","195","300",360,"450"
"919","Cessnock","Dec.11","182.5","265",312.5,"400"
"920","Kiama","Dec.11","-","290",410,"475"
"921","Lake Macquarie","Dec.11","175","280",350,"460"
"922","Maitland","Dec.11","172.5","287.5",335,"430"
"923","Newcastle","Dec.11","200","330",385,"455"
"924","Port Stephens","Dec.11","190","260",340,"420"
"925","Shellharbour","Dec.11","-","250",360,"460"
"926","Wollongong","Dec.11","200","300",395,"475"
"927","Rest of NSW","Dec.11","160","220",300,"375"
"928","New South Wales","Dec.11","360","380",380,"465"
"929","GREATER SYDNEY","Mar.12","415","450",460,"570"
"930","Inner Ring","Mar.12","460","595",800,"1050"
"931","Ashfield","Mar.12","340","410",592.5,"800"
"932","Botany Bay","Mar.12","410","450",650,"-"
"933","Lane Cove","Mar.12","397.5","460",650,"1195"
"934","Leichhardt","Mar.12","420","600",800,"1070"
"935","Marrickville","Mar.12","337.5","450",650,"770"
"936","Mosman","Mar.12","420","562.5",940,"1850"
"937","North Sydney","Mar.12","450","590",850,"1300"
"938","Randwick","Mar.12","450","550",750,"1000"
"939","Sydney","Mar.12","500","670",850,"950"
"940","Waverley","Mar.12","460","625",900,"1350"
"941","Woollahra","Mar.12","450","647.5",1000,"1550"
"942","Middle Ring","Mar.12","380","420",530,"680"
"943","Auburn","Mar.12","410","400",480,"565"
"944","Bankstown","Mar.12","205","370",450,"550"
"945","Burwood","Mar.12","350","460",585,"670"
"946","Canterbury","Mar.12","280","340",490,"555"
"947","Canada Bay","Mar.12","480","560",692.5,"800"
"948","Hunters Hill","Mar.12","-","505",695,"-"
"949","Hurstville","Mar.12","290","400",500,"595"
"950","Kogarah","Mar.12","300","420",510,"657.5"
"951","Ku-Ring-Gai","Mar.12","470","550",710,"1005"
"952","Manly","Mar.12","480","620",855,"1225"
"953","Parramatta","Mar.12","325","385",457.5,"570"
"954","Rockdale","Mar.12","350","422.5",530,"680"
"955","Ryde","Mar.12","330","410",595,"712.5"
"956","Strathfield","Mar.12","370","440",550,"700"
"957","Willoughby","Mar.12","475","585",777.5,"1100"
"958","Outer Ring","Mar.12","265","360",390,"520"
"959","The Hills Shire","Mar.12","300","425",500,"660"
"960","Blacktown","Mar.12","230","340",380,"510"
"961","Blue Mountains","Mar.12","220","300",350,"455"
"962","Camden","Mar.12","250","360",410,"500"
"963","Campbelltown","Mar.12","295","300",360,"440"
"964","Fairfield","Mar.12","220","300",400,"460"
"965","Gosford","Mar.12","200","300",370,"480"
"966","Hawkesbury","Mar.12","250","285",370,"475"
"967","Holroyd","Mar.12","260","370",440,"510"
"968","Hornsby","Mar.12","360","430",550,"685"
"969","Liverpool","Mar.12","260","320",420,"490"
"970","Penrith","Mar.12","220","290",360,"450"
"971","Pittwater","Mar.12","345","510",700,"912.5"
"972","Sutherland Shire","Mar.12","320","420",560,"685"
"973","Warringah","Mar.12","395","500",700,"900"
"974","Wollondilly","Mar.12","-","287.5",350,"470"
"975","Wyong","Mar.12","185.575","270",330,"420"
"976","Rest of GMR","Mar.12","190","310",370,"450"
"977","Cessnock","Mar.12","192.5","270",300,"400"
"978","Kiama","Mar.12","-","300",400,"495"
"979","Lake Macquarie","Mar.12","195","300",360,"450"
"980","Maitland","Mar.12","170","270",340,"440"
"981","Newcastle","Mar.12","180","350",400,"450"
"982","Port Stephens","Mar.12","180","260",350,"405"
"983","Shellharbour","Mar.12","195","280",362.5,"450"
"984","Wollongong","Mar.12","210","310",400,"482.5"
"985","Rest of NSW","Mar.12","160","230",300,"380"
"986","New South Wales","Mar.12","350","380",380,"470"
"987","GREATER SYDNEY","Jun.12","410","450",460,"580"
"988","Inner Ring","Jun.12","460","600",800,"1100"
"989","Ashfield","Jun.12","350","420",630,"-"
"990","Botany Bay","Jun.12","480","450",580,"-"
"991","Lane Cove","Jun.12","400","480",650,"1250"
"992","Leichhardt","Jun.12","430","620",792.5,"1035"
"993","Marrickville","Jun.12","350","460",680,"850"
"994","Mosman","Jun.12","420","580",1000,"1900"
"995","North Sydney","Jun.12","450","600",837.5,"1000"
"996","Randwick","Jun.12","440","550",750,"1200"
"997","Sydney","Jun.12","500","680",855,"925"
"998","Waverley","Jun.12","485","625",900,"1425"
"999","Woollahra","Jun.12","477.5","650",1000,"1600"
"1000","Middle Ring","Jun.12","375","420",550,"700"
"1001","Auburn","Jun.12","430","420",480,"600"
"1002","Bankstown","Jun.12","220","380",450,"530"
"1003","Burwood","Jun.12","360","450",600,"730"
"1004","Canterbury","Jun.12","280","350",500,"650"
"1005","Canada Bay","Jun.12","475","570",690,"800"
"1006","Hunters Hill","Jun.12","-","475",782.5,"-"
"1007","Hurstville","Jun.12","300","390",500,"650"
"1008","Kogarah","Jun.12","350","420",550,"680"
"1009","Ku-Ring-Gai","Jun.12","450","550",745,"1050"
"1010","Manly","Jun.12","475","597.5",890,"1300"
"1011","Parramatta","Jun.12","340","390",470,"560"
"1012","Rockdale","Jun.12","350","420",550,"695"
"1013","Ryde","Jun.12","325","420",597.5,"730"
"1014","Strathfield","Jun.12","365","450",570,"750"
"1015","Willoughby","Jun.12","480","587.5",800,"1200"
"1016","Outer Ring","Jun.12","280","350",390,"520"
"1017","The Hills Shire","Jun.12","310","450",510,"640"
"1018","Blacktown","Jun.12","225","340",380,"500"
"1019","Blue Mountains","Jun.12","200","275",350,"450"
"1020","Camden","Jun.12","265","360",407.5,"520"
"1021","Campbelltown","Jun.12","250","320",360,"450"
"1022","Fairfield","Jun.12","230","300",400,"470"
"1023","Gosford","Jun.12","220","300",380,"500"
"1024","Hawkesbury","Jun.12","250","300",380,"485"
"1025","Holroyd","Jun.12","265","370",430,"530"
"1026","Hornsby","Jun.12","360","445",550,"695"
"1027","Liverpool","Jun.12","250","300",410,"500"
"1028","Penrith","Jun.12","221.5","290",370,"460"
"1029","Pittwater","Jun.12","387.5","540",750,"920"
"1030","Sutherland Shire","Jun.12","320","415",575,"690"
"1031","Warringah","Jun.12","400","500",702.5,"895"
"1032","Wollondilly","Jun.12","242.5","285",350,"470"
"1033","Wyong","Jun.12","200","280",340,"430"
"1034","Rest of GMR","Jun.12","200","305",370,"450"
"1035","Cessnock","Jun.12","170","280",320,"420"
"1036","Kiama","Jun.12","-","320",390,"502.5"
"1037","Lake Macquarie","Jun.12","200","310",360,"475"
"1038","Maitland","Jun.12","170","290",340,"450"
"1039","Newcastle","Jun.12","207.5","350",400,"477.5"
"1040","Port Stephens","Jun.12","192.5","270",350,"410"
"1041","Shellharbour","Jun.12","250","272.5",360,"460"
"1042","Wollongong","Jun.12","206","300",400,"500"
"1043","Rest of NSW","Jun.12","165","230",300,"380"
"1044","New South Wales","Jun.12","365","380",380,"470"
"1045","GREATER SYDNEY","Sep.12","420","460",460,"560"
"1046","Inner Ring","Sep.12","460","600",800,"1100"
"1047","Ashfield","Sep.12","350","415",600,"-"
"1048","Botany Bay","Sep.12","390","450",650,"-"
"1049","Lane Cove","Sep.12","370","470",672.5,"1250"
"1050","Leichhardt","Sep.12","420","625",770,"1075"
"1051","Marrickville","Sep.12","350","480",695,"750"
