"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"106","Rest of GMR","Jun.08","160","240",290,"350"
"107","Cessnock","Jun.08","130","192.5",230,"300"
"108","Kiama","Jun.08","-","260",315,"380"
"109","Lake Macquarie","Jun.08","150","230",290,"380"
"110","Maitland","Jun.08","135","230",270,"340"
"111","Newcastle","Jun.08","170","265",320,"386"
"112","Port Stephens","Jun.08","175","200",265,"325"
"113","Shellharbour","Jun.08","150","210",280,"375"
"114","Wollongong","Jun.08","160","240",310,"400"
"115","Rest of NSW","Jun.08","138","180",240,"300"
"116","New South Wales","Jun.08","310","300",300,"385"
"117","GREATER SYDNEY","Sep.08","350","380",380,"480"
"118","Inner Ring","Sep.08","385","490",680,"900"
"119","Ashfield","Sep.08","275","350",510,"-"
"120","Botany Bay","Sep.08","325","370",520,"700"
"121","Lane Cove","Sep.08","335","392.5",610,"1100"
"122","Leichhardt","Sep.08","340","520",680,"950"
"123","Marrickville","Sep.08","275","400",550,"600"
"124","Mosman","Sep.08","360","470",860,"1925"
"125","North Sydney","Sep.08","390","495",700,"1000"
"126","Randwick","Sep.08","350","450",632.5,"800"
"127","Sydney","Sep.08","420","560",700,"765"
"128","Waverley","Sep.08","370","480",750,"1075"
"129","Woollahra","Sep.08","390","527.5",850,"1450"
"130","Middle Ring","Sep.08","320","360",450,"595"
"131","Auburn","Sep.08","350","350",400,"480"
"132","Bankstown","Sep.08","190","310",370,"450"
"133","Burwood","Sep.08","270","400",480,"630"
"134","Canterbury","Sep.08","220","290",420,"535"
"135","Canada Bay","Sep.08","397.5","475",620,"750"
"136","Hunters Hill","Sep.08","300","410",600,"-"
"137","Hurstville","Sep.08","260","330",420,"550"
"138","Kogarah","Sep.08","250","350",460,"550"
"139","Ku-Ring-Gai","Sep.08","305","425",600,"895"
"140","Manly","Sep.08","390","500",720,"1200"
"141","Parramatta","Sep.08","270","340",380,"450"
"142","Rockdale","Sep.08","282.5","360",460,"550"
"143","Ryde","Sep.08","272.5","350",490,"560"
"144","Strathfield","Sep.08","315","390",485,"570"
"145","Willoughby","Sep.08","420","485",680,"950"
"146","Outer Ring","Sep.08","220","290",320,"430"
"147","The Hills Shire","Sep.08","290","370",420,"550"
"148","Blacktown","Sep.08","180","280",310,"440"
"149","Blue Mountains","Sep.08","185","222.5",270,"350"
"150","Camden","Sep.08","200","260",320,"420"
"151","Campbelltown","Sep.08","192.5","230",280,"350"
"152","Fairfield","Sep.08","175","220",320,"400"
