"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"497","Hawkesbury","2014",6.1,30.3,32,31.5
"498","Hawkesbury","2015",8.3,28,31.6,32.1
"499","Hawkesbury","2016",9.9,27.9,29.3,32.9
"500","Hawkesbury","2017",8.1,28.7,31.3,31.9
"501","Hay","2008",11.6,21.9,26.7,39.7
"502","Hay","2009",12.7,23,25.9,38.5
"503","Hay","2010",12.1,24.2,27.3,36.3
"504","Hay","2011",11,25.4,27.5,36.1
"505","Hay","2012",11,24.5,28.2,36.2
"506","Hay","2013",11.6,25.9,26.6,35.9
"507","Hay","2014",11.4,25.3,32.2,31.1
"508","Hay","2015",10.9,21.1,35.1,32.9
"509","Hay","2016",10,21.7,32.9,35.3
"510","Hay","2017",9.7,23,30.6,36.7
"511","Hilltops","2008",11.6,21.9,26.7,39.7
"512","Hilltops","2009",12.7,23,25.9,38.5
"513","Hilltops","2010",12.1,24.2,27.3,36.3
"514","Hilltops","2011",11,25.4,27.5,36.1
"515","Hilltops","2012",11,24.5,28.2,36.2
"516","Hilltops","2013",11.6,25.9,26.6,35.9
"517","Hilltops","2014",11.4,25.3,32.2,31.1
"518","Hilltops","2015",10.9,21.1,35.1,32.9
"519","Hilltops","2016",10,21.7,32.9,35.3
"520","Hilltops","2017",9.7,23,30.6,36.7
"521","Hornsby","2008",12.3,18.5,23.2,46.1
"522","Hornsby","2009",12,19.4,23.1,45.5
"523","Hornsby","2010",11.8,21.6,22.1,44.5
"524","Hornsby","2011",11,20.5,21.3,47.3
"525","Hornsby","2012",9.2,21.7,21.3,47.8
"526","Hornsby","2013",7.7,23.7,24,44.6
"527","Hornsby","2014",8.1,22.7,25.7,43.5
"528","Hornsby","2015",8.2,23.6,27.4,40.8
"529","Hornsby","2016",7.8,23.4,26.4,42.5
"530","Hornsby","2017",7.3,23.6,20.7,48.5
"531","Hunters Hill","2008",12.3,18.5,23.2,46.1
"532","Hunters Hill","2009",12,19.4,23.1,45.5
"533","Hunters Hill","2010",11.8,21.6,22.1,44.5
"534","Hunters Hill","2011",11,20.5,21.3,47.3
"535","Hunters Hill","2012",9.2,21.7,21.3,47.8
"536","Hunters Hill","2013",7.7,23.7,24,44.6
"537","Hunters Hill","2014",8.1,22.7,25.7,43.5
"538","Hunters Hill","2015",8.2,23.6,27.4,40.8
"539","Hunters Hill","2016",7.8,23.4,26.4,42.5
"540","Hunters Hill","2017",7.3,23.6,20.7,48.5
"541","Inner West","2008",7.2,23.4,30.5,39
"542","Inner West","2009",8,21.1,30.4,40.4
"543","Inner West","2010",8.5,19.5,32.8,39.2
"544","Inner West","2011",9,20.7,34.7,35.7
"545","Inner West","2012",7.6,23.6,33.9,34.9
"546","Inner West","2013",5.3,22.1,33.1,39.5
"547","Inner West","2014",6.7,21.6,33.8,37.9
"548","Inner West","2015",6.8,23.9,33,36.4
"549","Inner West","2016",6.7,23.7,30.7,38.9
"550","Inner West","2017",5.8,24.8,27.1,42.3
"551","Inverell","2008",11.7,22.4,30.5,35.4
"552","Inverell","2009",12.5,21.9,30.1,35.4
"553","Inverell","2010",12.3,22.3,31,34.4
"554","Inverell","2011",12.1,25,29.8,33.1
"555","Inverell","2012",11.7,27.8,25.2,35.3
"556","Inverell","2013",11,28.4,25.6,35
"557","Inverell","2014",9.4,27.4,28.5,34.7
"558","Inverell","2015",8.6,25.8,28,37.6
"559","Inverell","2016",8.3,24.3,27.7,39.6
"560","Inverell","2017",8.8,25,26.4,39.8
"561","Junee","2008",11.6,21.9,26.7,39.7
"562","Junee","2009",12.7,23,25.9,38.5
"563","Junee","2010",12.1,24.2,27.3,36.3
"564","Junee","2011",11,25.4,27.5,36.1
"565","Junee","2012",11,24.5,28.2,36.2
"566","Junee","2013",11.6,25.9,26.6,35.9
"567","Junee","2014",11.4,25.3,32.2,31.1
"568","Junee","2015",10.9,21.1,35.1,32.9
"569","Junee","2016",10,21.7,32.9,35.3
"570","Junee","2017",9.7,23,30.6,36.7
"571","Kempsey","2008",14.6,19.2,28.6,37.6
"572","Kempsey","2009",14.2,19.8,30,36.1
"573","Kempsey","2010",12.6,21.7,28.8,36.9
"574","Kempsey","2011",13.3,23.9,26,36.7
"575","Kempsey","2012",14,21,28.5,36.5
"576","Kempsey","2013",13.8,16.9,35.3,34
"577","Kempsey","2014",13.6,19.7,35.2,31.4
"578","Kempsey","2015",13.6,20.1,30.1,36.2
"579","Kempsey","2016",12.8,19.6,27.1,40.6
"580","Kempsey","2017",13.6,23.3,25.4,37.7
"581","Kiama","2008",9.1,24.5,27.4,39
"582","Kiama","2009",8.5,27.1,24.9,39.5
"583","Kiama","2010",8.8,25.7,26.7,38.7
"584","Kiama","2011",10.7,23.9,26.8,38.6
"585","Kiama","2012",10.6,25.9,25.3,38.2
"586","Kiama","2013",8.9,26.1,26,39
"587","Kiama","2014",8.5,26.1,26.3,39.1
"588","Kiama","2015",8.4,26.3,25.7,39.5
"589","Kiama","2016",9,28.6,24.8,37.6
"590","Kiama","2017",9.3,28.4,21.8,40.5
"591","Ku-ring-gai","2008",12.3,18.5,23.2,46.1
"592","Ku-ring-gai","2009",12,19.4,23.1,45.5
"593","Ku-ring-gai","2010",11.8,21.6,22.1,44.5
"594","Ku-ring-gai","2011",11,20.5,21.3,47.3
"595","Ku-ring-gai","2012",9.2,21.7,21.3,47.8
"596","Ku-ring-gai","2013",7.7,23.7,24,44.6
"597","Ku-ring-gai","2014",8.1,22.7,25.7,43.5
"598","Ku-ring-gai","2015",8.2,23.6,27.4,40.8
"599","Ku-ring-gai","2016",7.8,23.4,26.4,42.5
"600","Ku-ring-gai","2017",7.3,23.6,20.7,48.5
"601","Kyogle","2008",14.4,19.8,27.5,38.3
"602","Kyogle","2009",13.3,19.5,29.6,37.6
"603","Kyogle","2010",12.5,18.2,31.9,37.4
"604","Kyogle","2011",11.9,22.3,29.1,36.7
"605","Kyogle","2012",12.8,26.6,25.3,35.3
"606","Kyogle","2013",14.1,27,25.5,33.3
"607","Kyogle","2014",12.2,25.7,26,36.1
"608","Kyogle","2015",11.8,24.4,25.6,38.3
"609","Kyogle","2016",12.2,24.3,23.4,40
"610","Kyogle","2017",11.8,24.8,21.1,42.3
"611","Lachlan","2008",10.1,26.8,29.9,33.2
"612","Lachlan","2009",11.8,23.7,30.1,34.3
"613","Lachlan","2010",11.6,23.6,29.9,34.9
"614","Lachlan","2011",10.1,26.3,29.2,34.4
"615","Lachlan","2012",9.1,30,28.4,32.5
"616","Lachlan","2013",8.3,30.3,28.9,32.5
"617","Lachlan","2014",8.4,28.2,30.3,33.1
"618","Lachlan","2015",9.2,29.7,29.6,31.6
"619","Lachlan","2016",10.5,29.6,25.4,34.6
"620","Lachlan","2017",11.8,28.5,24.6,35.1
"621","Lake Macquarie","2008",11.7,22.4,30.5,35.4
"622","Lake Macquarie","2009",12.5,21.9,30.1,35.4
"623","Lake Macquarie","2010",12.3,22.3,31,34.4
"624","Lake Macquarie","2011",12.1,25,29.8,33.1
"625","Lake Macquarie","2012",11.7,27.8,25.2,35.3
"626","Lake Macquarie","2013",11,28.4,25.6,35
"627","Lake Macquarie","2014",9.4,27.4,28.5,34.7
"628","Lake Macquarie","2015",8.6,25.8,28,37.6
"629","Lake Macquarie","2016",8.3,24.3,27.7,39.6
"630","Lake Macquarie","2017",8.8,25,26.4,39.8
"631","Lane Cove","2008",12.3,18.5,23.2,46.1
"632","Lane Cove","2009",12,19.4,23.1,45.5
"633","Lane Cove","2010",11.8,21.6,22.1,44.5
"634","Lane Cove","2011",11,20.5,21.3,47.3
"635","Lane Cove","2012",9.2,21.7,21.3,47.8
"636","Lane Cove","2013",7.7,23.7,24,44.6
"637","Lane Cove","2014",8.1,22.7,25.7,43.5
"638","Lane Cove","2015",8.2,23.6,27.4,40.8
"639","Lane Cove","2016",7.8,23.4,26.4,42.5
"640","Lane Cove","2017",7.3,23.6,20.7,48.5
"641","Leeton","2008",11.6,21.9,26.7,39.7
"642","Leeton","2009",12.7,23,25.9,38.5
"643","Leeton","2010",12.1,24.2,27.3,36.3
"644","Leeton","2011",11,25.4,27.5,36.1
"645","Leeton","2012",11,24.5,28.2,36.2
"646","Leeton","2013",11.6,25.9,26.6,35.9
"647","Leeton","2014",11.4,25.3,32.2,31.1
"648","Leeton","2015",10.9,21.1,35.1,32.9
"649","Leeton","2016",10,21.7,32.9,35.3
"650","Leeton","2017",9.7,23,30.6,36.7
"651","Lismore","2008",14.4,19.8,27.5,38.3
"652","Lismore","2009",13.3,19.5,29.6,37.6
"653","Lismore","2010",12.5,18.2,31.9,37.4
"654","Lismore","2011",11.9,22.3,29.1,36.7
"655","Lismore","2012",12.8,26.6,25.3,35.3
"656","Lismore","2013",14.1,27,25.5,33.3
"657","Lismore","2014",12.2,25.7,26,36.1
"658","Lismore","2015",11.8,24.4,25.6,38.3
"659","Lismore","2016",12.2,24.3,23.4,40
"660","Lismore","2017",11.8,24.8,21.1,42.3
"661","Lithgow","2008",6.8,25.7,28.9,38.7
"662","Lithgow","2009",6.7,24.7,31.5,37.1
"663","Lithgow","2010",6.9,26.2,33.2,33.6
"664","Lithgow","2011",8,27.9,30.3,33.7
"665","Lithgow","2012",8.3,31.1,28.8,31.8
"666","Lithgow","2013",6.6,33.5,29.8,30.1
"667","Lithgow","2014",6.1,30.3,32,31.5
"668","Lithgow","2015",8.3,28,31.6,32.1
"669","Lithgow","2016",9.9,27.9,29.3,32.9
"670","Lithgow","2017",8.1,28.7,31.3,31.9
"671","Liverpool","2008",6.1,24.4,43.8,25.7
"672","Liverpool","2009",6.5,24.2,42.6,26.7
"673","Liverpool","2010",6.1,24.8,43.4,25.7
"674","Liverpool","2011",6,27.7,41.2,25.1
"675","Liverpool","2012",5.3,29.6,43.7,21.3
"676","Liverpool","2013",4.7,28.9,47.6,18.8
"677","Liverpool","2014",4.9,27.5,46.9,20.7
"678","Liverpool","2015",4.1,25.8,47.4,22.7
"679","Liverpool","2016",4.2,26.4,46.1,23.3
"680","Liverpool","2017",5,29.7,42.3,23
"681","Liverpool Plains","2008",11.7,22.4,30.5,35.4
"682","Liverpool Plains","2009",12.5,21.9,30.1,35.4
"683","Liverpool Plains","2010",12.3,22.3,31,34.4
"684","Liverpool Plains","2011",12.1,25,29.8,33.1
"685","Liverpool Plains","2012",11.7,27.8,25.2,35.3
"686","Liverpool Plains","2013",11,28.4,25.6,35
"687","Liverpool Plains","2014",9.4,27.4,28.5,34.7
"688","Liverpool Plains","2015",8.6,25.8,28,37.6
"689","Liverpool Plains","2016",8.3,24.3,27.7,39.6
"690","Liverpool Plains","2017",8.8,25,26.4,39.8
"691","Lockhart","2008",11.6,21.9,26.7,39.7
"692","Lockhart","2009",12.7,23,25.9,38.5
"693","Lockhart","2010",12.1,24.2,27.3,36.3
"694","Lockhart","2011",11,25.4,27.5,36.1
"695","Lockhart","2012",11,24.5,28.2,36.2
"696","Lockhart","2013",11.6,25.9,26.6,35.9
"697","Lockhart","2014",11.4,25.3,32.2,31.1
"698","Lockhart","2015",10.9,21.1,35.1,32.9
"699","Lockhart","2016",10,21.7,32.9,35.3
"700","Lockhart","2017",9.7,23,30.6,36.7
"701","Maitland","2008",11.7,22.4,30.5,35.4
"702","Maitland","2009",12.5,21.9,30.1,35.4
"703","Maitland","2010",12.3,22.3,31,34.4
"704","Maitland","2011",12.1,25,29.8,33.1
"705","Maitland","2012",11.7,27.8,25.2,35.3
"706","Maitland","2013",11,28.4,25.6,35
"707","Maitland","2014",9.4,27.4,28.5,34.7
"708","Maitland","2015",8.6,25.8,28,37.6
"709","Maitland","2016",8.3,24.3,27.7,39.6
"710","Maitland","2017",8.8,25,26.4,39.8
"711","Mid-Coast","2008",11.7,22.4,30.5,35.4
"712","Mid-Coast","2009",12.5,21.9,30.1,35.4
"713","Mid-Coast","2010",12.3,22.3,31,34.4
"714","Mid-Coast","2011",12.1,25,29.8,33.1
"715","Mid-Coast","2012",11.7,27.8,25.2,35.3
"716","Mid-Coast","2013",11,28.4,25.6,35
"717","Mid-Coast","2014",9.4,27.4,28.5,34.7
"718","Mid-Coast","2015",8.6,25.8,28,37.6
"719","Mid-Coast","2016",8.3,24.3,27.7,39.6
"720","Mid-Coast","2017",8.8,25,26.4,39.8
"721","Mid-Western Regional","2008",10.1,26.8,29.9,33.2
"722","Mid-Western Regional","2009",11.8,23.7,30.1,34.3
"723","Mid-Western Regional","2010",11.6,23.6,29.9,34.9
"724","Mid-Western Regional","2011",10.1,26.3,29.2,34.4
"725","Mid-Western Regional","2012",9.1,30,28.4,32.5
"726","Mid-Western Regional","2013",8.3,30.3,28.9,32.5
"727","Mid-Western Regional","2014",8.4,28.2,30.3,33.1
"728","Mid-Western Regional","2015",9.2,29.7,29.6,31.6
"729","Mid-Western Regional","2016",10.5,29.6,25.4,34.6
"730","Mid-Western Regional","2017",11.8,28.5,24.6,35.1
"731","Moree Plains","2008",11.7,22.4,30.5,35.4
"732","Moree Plains","2009",12.5,21.9,30.1,35.4
"733","Moree Plains","2010",12.3,22.3,31,34.4
"734","Moree Plains","2011",12.1,25,29.8,33.1
"735","Moree Plains","2012",11.7,27.8,25.2,35.3
"736","Moree Plains","2013",11,28.4,25.6,35
"737","Moree Plains","2014",9.4,27.4,28.5,34.7
"738","Moree Plains","2015",8.6,25.8,28,37.6
"739","Moree Plains","2016",8.3,24.3,27.7,39.6
"740","Moree Plains","2017",8.8,25,26.4,39.8
"741","Mosman","2008",12.3,18.5,23.2,46.1
"742","Mosman","2009",12,19.4,23.1,45.5
"743","Mosman","2010",11.8,21.6,22.1,44.5
"744","Mosman","2011",11,20.5,21.3,47.3
"745","Mosman","2012",9.2,21.7,21.3,47.8
"746","Mosman","2013",7.7,23.7,24,44.6
"747","Mosman","2014",8.1,22.7,25.7,43.5
"748","Mosman","2015",8.2,23.6,27.4,40.8
"749","Mosman","2016",7.8,23.4,26.4,42.5
"750","Mosman","2017",7.3,23.6,20.7,48.5
"751","Murray River","2008",11.6,21.9,26.7,39.7
"752","Murray River","2009",12.7,23,25.9,38.5
"753","Murray River","2010",12.1,24.2,27.3,36.3
"754","Murray River","2011",11,25.4,27.5,36.1
"755","Murray River","2012",11,24.5,28.2,36.2
"756","Murray River","2013",11.6,25.9,26.6,35.9
"757","Murray River","2014",11.4,25.3,32.2,31.1
"758","Murray River","2015",10.9,21.1,35.1,32.9
"759","Murray River","2016",10,21.7,32.9,35.3
"760","Murray River","2017",9.7,23,30.6,36.7
"761","Murrumbidgee","2008",11.6,21.9,26.7,39.7
"762","Murrumbidgee","2009",12.7,23,25.9,38.5
"763","Murrumbidgee","2010",12.1,24.2,27.3,36.3
"764","Murrumbidgee","2011",11,25.4,27.5,36.1
"765","Murrumbidgee","2012",11,24.5,28.2,36.2
"766","Murrumbidgee","2013",11.6,25.9,26.6,35.9
"767","Murrumbidgee","2014",11.4,25.3,32.2,31.1
"768","Murrumbidgee","2015",10.9,21.1,35.1,32.9
"769","Murrumbidgee","2016",10,21.7,32.9,35.3
"770","Murrumbidgee","2017",9.7,23,30.6,36.7
"771","Muswellbrook","2008",11.7,22.4,30.5,35.4
"772","Muswellbrook","2009",12.5,21.9,30.1,35.4
"773","Muswellbrook","2010",12.3,22.3,31,34.4
"774","Muswellbrook","2011",12.1,25,29.8,33.1
"775","Muswellbrook","2012",11.7,27.8,25.2,35.3
"776","Muswellbrook","2013",11,28.4,25.6,35
"777","Muswellbrook","2014",9.4,27.4,28.5,34.7
"778","Muswellbrook","2015",8.6,25.8,28,37.6
"779","Muswellbrook","2016",8.3,24.3,27.7,39.6
"780","Muswellbrook","2017",8.8,25,26.4,39.8
"781","Nambucca","2008",14.6,19.2,28.6,37.6
"782","Nambucca","2009",14.2,19.8,30,36.1
"783","Nambucca","2010",12.6,21.7,28.8,36.9
"784","Nambucca","2011",13.3,23.9,26,36.7
"785","Nambucca","2012",14,21,28.5,36.5
"786","Nambucca","2013",13.8,16.9,35.3,34
"787","Nambucca","2014",13.6,19.7,35.2,31.4
"788","Nambucca","2015",13.6,20.1,30.1,36.2
"789","Nambucca","2016",12.8,19.6,27.1,40.6
"790","Nambucca","2017",13.6,23.3,25.4,37.7
"791","Narrabri","2008",11.7,22.4,30.5,35.4
"792","Narrabri","2009",12.5,21.9,30.1,35.4
"793","Narrabri","2010",12.3,22.3,31,34.4
"794","Narrabri","2011",12.1,25,29.8,33.1
"795","Narrabri","2012",11.7,27.8,25.2,35.3
"796","Narrabri","2013",11,28.4,25.6,35
"797","Narrabri","2014",9.4,27.4,28.5,34.7
"798","Narrabri","2015",8.6,25.8,28,37.6
"799","Narrabri","2016",8.3,24.3,27.7,39.6
"800","Narrabri","2017",8.8,25,26.4,39.8
"801","Narrandera","2008",11.6,21.9,26.7,39.7
"802","Narrandera","2009",12.7,23,25.9,38.5
"803","Narrandera","2010",12.1,24.2,27.3,36.3
"804","Narrandera","2011",11,25.4,27.5,36.1
"805","Narrandera","2012",11,24.5,28.2,36.2
"806","Narrandera","2013",11.6,25.9,26.6,35.9
"807","Narrandera","2014",11.4,25.3,32.2,31.1
"808","Narrandera","2015",10.9,21.1,35.1,32.9
"809","Narrandera","2016",10,21.7,32.9,35.3
"810","Narrandera","2017",9.7,23,30.6,36.7
"811","Narromine","2008",10.1,26.8,29.9,33.2
"812","Narromine","2009",11.8,23.7,30.1,34.3
"813","Narromine","2010",11.6,23.6,29.9,34.9
"814","Narromine","2011",10.1,26.3,29.2,34.4
"815","Narromine","2012",9.1,30,28.4,32.5
"816","Narromine","2013",8.3,30.3,28.9,32.5
"817","Narromine","2014",8.4,28.2,30.3,33.1
"818","Narromine","2015",9.2,29.7,29.6,31.6
"819","Narromine","2016",10.5,29.6,25.4,34.6
"820","Narromine","2017",11.8,28.5,24.6,35.1
"821","Newcastle","2008",11.7,22.4,30.5,35.4
"822","Newcastle","2009",12.5,21.9,30.1,35.4
"823","Newcastle","2010",12.3,22.3,31,34.4
"824","Newcastle","2011",12.1,25,29.8,33.1
"825","Newcastle","2012",11.7,27.8,25.2,35.3
"826","Newcastle","2013",11,28.4,25.6,35
"827","Newcastle","2014",9.4,27.4,28.5,34.7
"828","Newcastle","2015",8.6,25.8,28,37.6
"829","Newcastle","2016",8.3,24.3,27.7,39.6
"830","Newcastle","2017",8.8,25,26.4,39.8
"831","Northern Beaches","2008",12.3,18.5,23.2,46.1
"832","Northern Beaches","2009",12,19.4,23.1,45.5
"833","Northern Beaches","2010",11.8,21.6,22.1,44.5
"834","Northern Beaches","2011",11,20.5,21.3,47.3
"835","Northern Beaches","2012",9.2,21.7,21.3,47.8
"836","Northern Beaches","2013",7.7,23.7,24,44.6
"837","Northern Beaches","2014",8.1,22.7,25.7,43.5
"838","Northern Beaches","2015",8.2,23.6,27.4,40.8
"839","Northern Beaches","2016",7.8,23.4,26.4,42.5
"840","Northern Beaches","2017",7.3,23.6,20.7,48.5
"841","North Sydney","2008",12.3,18.5,23.2,46.1
"842","North Sydney","2009",12,19.4,23.1,45.5
"843","North Sydney","2010",11.8,21.6,22.1,44.5
"844","North Sydney","2011",11,20.5,21.3,47.3
"845","North Sydney","2012",9.2,21.7,21.3,47.8
"846","North Sydney","2013",7.7,23.7,24,44.6
"847","North Sydney","2014",8.1,22.7,25.7,43.5
"848","North Sydney","2015",8.2,23.6,27.4,40.8
"849","North Sydney","2016",7.8,23.4,26.4,42.5
"850","North Sydney","2017",7.3,23.6,20.7,48.5
"851","Oberon","2008",10.1,26.8,29.9,33.2
"852","Oberon","2009",11.8,23.7,30.1,34.3
"853","Oberon","2010",11.6,23.6,29.9,34.9
"854","Oberon","2011",10.1,26.3,29.2,34.4
"855","Oberon","2012",9.1,30,28.4,32.5
"856","Oberon","2013",8.3,30.3,28.9,32.5
"857","Oberon","2014",8.4,28.2,30.3,33.1
"858","Oberon","2015",9.2,29.7,29.6,31.6
"859","Oberon","2016",10.5,29.6,25.4,34.6
"860","Oberon","2017",11.8,28.5,24.6,35.1
"861","Orange","2008",10.1,26.8,29.9,33.2
"862","Orange","2009",11.8,23.7,30.1,34.3
"863","Orange","2010",11.6,23.6,29.9,34.9
"864","Orange","2011",10.1,26.3,29.2,34.4
"865","Orange","2012",9.1,30,28.4,32.5
"866","Orange","2013",8.3,30.3,28.9,32.5
"867","Orange","2014",8.4,28.2,30.3,33.1
"868","Orange","2015",9.2,29.7,29.6,31.6
"869","Orange","2016",10.5,29.6,25.4,34.6
"870","Orange","2017",11.8,28.5,24.6,35.1
"871","Parkes","2008",10.1,26.8,29.9,33.2
"872","Parkes","2009",11.8,23.7,30.1,34.3
"873","Parkes","2010",11.6,23.6,29.9,34.9
"874","Parkes","2011",10.1,26.3,29.2,34.4
"875","Parkes","2012",9.1,30,28.4,32.5
"876","Parkes","2013",8.3,30.3,28.9,32.5
"877","Parkes","2014",8.4,28.2,30.3,33.1
"878","Parkes","2015",9.2,29.7,29.6,31.6
"879","Parkes","2016",10.5,29.6,25.4,34.6
"880","Parkes","2017",11.8,28.5,24.6,35.1
"881","Parramatta","2008",6,24.3,38.4,31.3
"882","Parramatta","2009",6.5,25,39.2,29.3
"883","Parramatta","2010",6.3,30.1,39.1,24.6
"884","Parramatta","2011",6.3,30.7,38.6,24.5
"885","Parramatta","2012",5.9,28.1,41.4,24.7
"886","Parramatta","2013",4.8,28.7,42.3,24.2
"887","Parramatta","2014",3.9,26.9,45.5,23.7
"888","Parramatta","2015",5.6,24.4,47.4,22.6
"889","Parramatta","2016",5.5,27.6,43.3,23.7
"890","Parramatta","2017",4.1,32.3,39.7,24
"891","Penrith","2008",6.8,25.7,28.9,38.7
"892","Penrith","2009",6.7,24.7,31.5,37.1
"893","Penrith","2010",6.9,26.2,33.2,33.6
"894","Penrith","2011",8,27.9,30.3,33.7
"895","Penrith","2012",8.3,31.1,28.8,31.8
"896","Penrith","2013",6.6,33.5,29.8,30.1
"897","Penrith","2014",6.1,30.3,32,31.5
"898","Penrith","2015",8.3,28,31.6,32.1
"899","Penrith","2016",9.9,27.9,29.3,32.9
"900","Penrith","2017",8.1,28.7,31.3,31.9
"901","Port Macquarie-Hastings","2008",14.6,19.2,28.6,37.6
"902","Port Macquarie-Hastings","2009",14.2,19.8,30,36.1
"903","Port Macquarie-Hastings","2010",12.6,21.7,28.8,36.9
"904","Port Macquarie-Hastings","2011",13.3,23.9,26,36.7
"905","Port Macquarie-Hastings","2012",14,21,28.5,36.5
"906","Port Macquarie-Hastings","2013",13.8,16.9,35.3,34
"907","Port Macquarie-Hastings","2014",13.6,19.7,35.2,31.4
"908","Port Macquarie-Hastings","2015",13.6,20.1,30.1,36.2
"909","Port Macquarie-Hastings","2016",12.8,19.6,27.1,40.6
"910","Port Macquarie-Hastings","2017",13.6,23.3,25.4,37.7
"911","Port Stephens","2008",11.7,22.4,30.5,35.4
"912","Port Stephens","2009",12.5,21.9,30.1,35.4
"913","Port Stephens","2010",12.3,22.3,31,34.4
"914","Port Stephens","2011",12.1,25,29.8,33.1
"915","Port Stephens","2012",11.7,27.8,25.2,35.3
"916","Port Stephens","2013",11,28.4,25.6,35
"917","Port Stephens","2014",9.4,27.4,28.5,34.7
"918","Port Stephens","2015",8.6,25.8,28,37.6
"919","Port Stephens","2016",8.3,24.3,27.7,39.6
"920","Port Stephens","2017",8.8,25,26.4,39.8
"921","Queanbeyan-Palerang Regional","2008",14.1,21.2,26.9,37.8
"922","Queanbeyan-Palerang Regional","2009",14.5,21.3,26.2,38
"923","Queanbeyan-Palerang Regional","2010",14.6,22.1,26.5,36.9
"924","Queanbeyan-Palerang Regional","2011",14.7,24.4,24.8,36.1
"925","Queanbeyan-Palerang Regional","2012",13.4,26.8,22.7,37.1
"926","Queanbeyan-Palerang Regional","2013",11.6,27.5,23.8,37.1
"927","Queanbeyan-Palerang Regional","2014",10,28.2,24.9,36.9
"928","Queanbeyan-Palerang Regional","2015",9.7,26.1,25.2,39
"929","Queanbeyan-Palerang Regional","2016",11.4,24.8,25.2,38.5
"930","Queanbeyan-Palerang Regional","2017",10.5,26.1,24.7,38.7
"931","Randwick","2008",9.3,25.2,29.9,35.6
"932","Randwick","2009",9.1,24.9,29.2,36.9
"933","Randwick","2010",7.6,24.9,29.4,38.1
"934","Randwick","2011",8.1,25.9,28,38
"935","Randwick","2012",9,26.7,26.7,37.6
"936","Randwick","2013",7.5,25.6,29.7,37.2
"937","Randwick","2014",6.1,27,31.9,35.1
"938","Randwick","2015",5.6,27.5,30.7,36.2
"939","Randwick","2016",5.3,25.4,27.3,42.1
"940","Randwick","2017",6.9,23.5,22.5,47.1
"941","Richmond Valley","2008",14.4,19.8,27.5,38.3
"942","Richmond Valley","2009",13.3,19.5,29.6,37.6
"943","Richmond Valley","2010",12.5,18.2,31.9,37.4
"944","Richmond Valley","2011",11.9,22.3,29.1,36.7
"945","Richmond Valley","2012",12.8,26.6,25.3,35.3
"946","Richmond Valley","2013",14.1,27,25.5,33.3
"947","Richmond Valley","2014",12.2,25.7,26,36.1
"948","Richmond Valley","2015",11.8,24.4,25.6,38.3
"949","Richmond Valley","2016",12.2,24.3,23.4,40
"950","Richmond Valley","2017",11.8,24.8,21.1,42.3
"951","Rockdale","2008",9.3,25.2,29.9,35.6
"952","Rockdale","2009",9.1,24.9,29.2,36.9
"953","Rockdale","2010",7.6,24.9,29.4,38.1
"954","Rockdale","2011",8.1,25.9,28,38
"955","Rockdale","2012",9,26.7,26.7,37.6
"956","Rockdale","2013",7.5,25.6,29.7,37.2
"957","Rockdale","2014",6.1,27,31.9,35.1
"958","Rockdale","2015",5.6,27.5,30.7,36.2
"959","Rockdale","2016",5.3,25.4,27.3,42.1
"960","Rockdale","2017",6.9,23.5,22.5,47.1
"961","Ryde","2008",12.3,18.5,23.2,46.1
"962","Ryde","2009",12,19.4,23.1,45.5
"963","Ryde","2010",11.8,21.6,22.1,44.5
"964","Ryde","2011",11,20.5,21.3,47.3
"965","Ryde","2012",9.2,21.7,21.3,47.8
"966","Ryde","2013",7.7,23.7,24,44.6
"967","Ryde","2014",8.1,22.7,25.7,43.5
"968","Ryde","2015",8.2,23.6,27.4,40.8
"969","Ryde","2016",7.8,23.4,26.4,42.5
"970","Ryde","2017",7.3,23.6,20.7,48.5
"971","Shellharbour","2008",9.1,24.5,27.4,39
"972","Shellharbour","2009",8.5,27.1,24.9,39.5
"973","Shellharbour","2010",8.8,25.7,26.7,38.7
"974","Shellharbour","2011",10.7,23.9,26.8,38.6
"975","Shellharbour","2012",10.6,25.9,25.3,38.2
"976","Shellharbour","2013",8.9,26.1,26,39
"977","Shellharbour","2014",8.5,26.1,26.3,39.1
"978","Shellharbour","2015",8.4,26.3,25.7,39.5
"979","Shellharbour","2016",9,28.6,24.8,37.6
"980","Shellharbour","2017",9.3,28.4,21.8,40.5
"981","Shoalhaven","2008",9.1,24.5,27.4,39
"982","Shoalhaven","2009",8.5,27.1,24.9,39.5
"983","Shoalhaven","2010",8.8,25.7,26.7,38.7
"984","Shoalhaven","2011",10.7,23.9,26.8,38.6
"985","Shoalhaven","2012",10.6,25.9,25.3,38.2
"986","Shoalhaven","2013",8.9,26.1,26,39
"987","Shoalhaven","2014",8.5,26.1,26.3,39.1
"988","Shoalhaven","2015",8.4,26.3,25.7,39.5
"989","Shoalhaven","2016",9,28.6,24.8,37.6
"990","Shoalhaven","2017",9.3,28.4,21.8,40.5
"991","Singleton","2008",11.7,22.4,30.5,35.4
"992","Singleton","2009",12.5,21.9,30.1,35.4
"993","Singleton","2010",12.3,22.3,31,34.4
"994","Singleton","2011",12.1,25,29.8,33.1
"995","Singleton","2012",11.7,27.8,25.2,35.3
"996","Singleton","2013",11,28.4,25.6,35
"997","Singleton","2014",9.4,27.4,28.5,34.7
"998","Singleton","2015",8.6,25.8,28,37.6
