"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"115","Bogan","2012",9.1,30,28.4,32.5
"116","Bogan","2013",8.3,30.3,28.9,32.5
"117","Bogan","2014",8.4,28.2,30.3,33.1
"118","Bogan","2015",9.2,29.7,29.6,31.6
"119","Bogan","2016",10.5,29.6,25.4,34.6
"120","Bogan","2017",11.8,28.5,24.6,35.1
"121","Botany Bay","2008",9.3,25.2,29.9,35.6
"122","Botany Bay","2009",9.1,24.9,29.2,36.9
"123","Botany Bay","2010",7.6,24.9,29.4,38.1
"124","Botany Bay","2011",8.1,25.9,28,38
"125","Botany Bay","2012",9,26.7,26.7,37.6
"126","Botany Bay","2013",7.5,25.6,29.7,37.2
"127","Botany Bay","2014",6.1,27,31.9,35.1
"128","Botany Bay","2015",5.6,27.5,30.7,36.2
"129","Botany Bay","2016",5.3,25.4,27.3,42.1
"130","Botany Bay","2017",6.9,23.5,22.5,47.1
"131","Bourke","2008",10.1,26.8,29.9,33.2
"132","Bourke","2009",11.8,23.7,30.1,34.3
"133","Bourke","2010",11.6,23.6,29.9,34.9
"134","Bourke","2011",10.1,26.3,29.2,34.4
"135","Bourke","2012",9.1,30,28.4,32.5
"136","Bourke","2013",8.3,30.3,28.9,32.5
"137","Bourke","2014",8.4,28.2,30.3,33.1
"138","Bourke","2015",9.2,29.7,29.6,31.6
"139","Bourke","2016",10.5,29.6,25.4,34.6
"140","Bourke","2017",11.8,28.5,24.6,35.1
"141","Brewarrina","2008",10.1,26.8,29.9,33.2
"142","Brewarrina","2009",11.8,23.7,30.1,34.3
"143","Brewarrina","2010",11.6,23.6,29.9,34.9
"144","Brewarrina","2011",10.1,26.3,29.2,34.4
"145","Brewarrina","2012",9.1,30,28.4,32.5
"146","Brewarrina","2013",8.3,30.3,28.9,32.5
"147","Brewarrina","2014",8.4,28.2,30.3,33.1
"148","Brewarrina","2015",9.2,29.7,29.6,31.6
"149","Brewarrina","2016",10.5,29.6,25.4,34.6
"150","Brewarrina","2017",11.8,28.5,24.6,35.1
"151","Broken Hill","2008",11,26.3,30.2,32.4
"152","Broken Hill","2009",10.6,27,30.8,31.6
"153","Broken Hill","2010",9.4,23,31.5,36.1
"154","Broken Hill","2011",10.4,24.6,32.6,32.4
"155","Broken Hill","2012",8.9,27.9,30.9,32.3
"156","Broken Hill","2013",9.7,26.1,32.1,32.2
"157","Broken Hill","2014",9.3,22.3,39.2,29.2
"158","Broken Hill","2015",7.1,25.2,38,29.7
"159","Broken Hill","2016",6.9,30.4,30.6,32.1
"160","Broken Hill","2017",8.4,32.1,26.2,33.4
"161","Burwood","2008",7.2,23.4,30.5,39
"162","Burwood","2009",8,21.1,30.4,40.4
"163","Burwood","2010",8.5,19.5,32.8,39.2
"164","Burwood","2011",9,20.7,34.7,35.7
"165","Burwood","2012",7.6,23.6,33.9,34.9
"166","Burwood","2013",5.3,22.1,33.1,39.5
"167","Burwood","2014",6.7,21.6,33.8,37.9
"168","Burwood","2015",6.8,23.9,33,36.4
"169","Burwood","2016",6.7,23.7,30.7,38.9
"170","Burwood","2017",5.8,24.8,27.1,42.3
"171","Byron","2008",14.4,19.8,27.5,38.3
"172","Byron","2009",13.3,19.5,29.6,37.6
"173","Byron","2010",12.5,18.2,31.9,37.4
"174","Byron","2011",11.9,22.3,29.1,36.7
"175","Byron","2012",12.8,26.6,25.3,35.3
"176","Byron","2013",14.1,27,25.5,33.3
"177","Byron","2014",12.2,25.7,26,36.1
"178","Byron","2015",11.8,24.4,25.6,38.3
"179","Byron","2016",12.2,24.3,23.4,40
"180","Byron","2017",11.8,24.8,21.1,42.3
"181","Cabonne","2008",10.1,26.8,29.9,33.2
"182","Cabonne","2009",11.8,23.7,30.1,34.3
"183","Cabonne","2010",11.6,23.6,29.9,34.9
"184","Cabonne","2011",10.1,26.3,29.2,34.4
"185","Cabonne","2012",9.1,30,28.4,32.5
"186","Cabonne","2013",8.3,30.3,28.9,32.5
"187","Cabonne","2014",8.4,28.2,30.3,33.1
"188","Cabonne","2015",9.2,29.7,29.6,31.6
"189","Cabonne","2016",10.5,29.6,25.4,34.6
"190","Cabonne","2017",11.8,28.5,24.6,35.1
"191","Camden","2008",6.1,24.4,43.8,25.7
"192","Camden","2009",6.5,24.2,42.6,26.7
"193","Camden","2010",6.1,24.8,43.4,25.7
"194","Camden","2011",6,27.7,41.2,25.1
"195","Camden","2012",5.3,29.6,43.7,21.3
"196","Camden","2013",4.7,28.9,47.6,18.8
"197","Camden","2014",4.9,27.5,46.9,20.7
"198","Camden","2015",4.1,25.8,47.4,22.7
"199","Camden","2016",4.2,26.4,46.1,23.3
"200","Camden","2017",5,29.7,42.3,23
"201","Campbelltown","2008",6.1,24.4,43.8,25.7
"202","Campbelltown","2009",6.5,24.2,42.6,26.7
"203","Campbelltown","2010",6.1,24.8,43.4,25.7
"204","Campbelltown","2011",6,27.7,41.2,25.1
"205","Campbelltown","2012",5.3,29.6,43.7,21.3
"206","Campbelltown","2013",4.7,28.9,47.6,18.8
"207","Campbelltown","2014",4.9,27.5,46.9,20.7
"208","Campbelltown","2015",4.1,25.8,47.4,22.7
"209","Campbelltown","2016",4.2,26.4,46.1,23.3
"210","Campbelltown","2017",5,29.7,42.3,23
"211","Canada Bay","2008",7.2,23.4,30.5,39
"212","Canada Bay","2009",8,21.1,30.4,40.4
"213","Canada Bay","2010",8.5,19.5,32.8,39.2
"214","Canada Bay","2011",9,20.7,34.7,35.7
"215","Canada Bay","2012",7.6,23.6,33.9,34.9
"216","Canada Bay","2013",5.3,22.1,33.1,39.5
"217","Canada Bay","2014",6.7,21.6,33.8,37.9
"218","Canada Bay","2015",6.8,23.9,33,36.4
"219","Canada Bay","2016",6.7,23.7,30.7,38.9
"220","Canada Bay","2017",5.8,24.8,27.1,42.3
"221","Canterbury-Bankstown","2008",6.1,24.4,43.8,25.7
"222","Canterbury-Bankstown","2009",6.5,24.2,42.6,26.7
"223","Canterbury-Bankstown","2010",6.1,24.8,43.4,25.7
"224","Canterbury-Bankstown","2011",6,27.7,41.2,25.1
"225","Canterbury-Bankstown","2012",5.3,29.6,43.7,21.3
"226","Canterbury-Bankstown","2013",4.7,28.9,47.6,18.8
"227","Canterbury-Bankstown","2014",4.9,27.5,46.9,20.7
"228","Canterbury-Bankstown","2015",4.1,25.8,47.4,22.7
"229","Canterbury-Bankstown","2016",4.2,26.4,46.1,23.3
"230","Canterbury-Bankstown","2017",5,29.7,42.3,23
"231","Carrathool","2008",11.6,21.9,26.7,39.7
"232","Carrathool","2009",12.7,23,25.9,38.5
"233","Carrathool","2010",12.1,24.2,27.3,36.3
"234","Carrathool","2011",11,25.4,27.5,36.1
"235","Carrathool","2012",11,24.5,28.2,36.2
"236","Carrathool","2013",11.6,25.9,26.6,35.9
"237","Carrathool","2014",11.4,25.3,32.2,31.1
"238","Carrathool","2015",10.9,21.1,35.1,32.9
"239","Carrathool","2016",10,21.7,32.9,35.3
"240","Carrathool","2017",9.7,23,30.6,36.7
"241","Central Coast","2008",11.8,25.1,25.3,37.9
"242","Central Coast","2009",14.5,23.8,23,38.7
