LGA,year,Business_entries,Business_exits,New_business_entries_rate
Canterbury-Bankstown,2013,NA,NA,NA
Canterbury-Bankstown,2014,5030,4158,0.17335984095427434
Canterbury-Bankstown,2015,5139,4172,0.18816890445611986
Canterbury-Bankstown,2016,5850,4173,0.2866666666666667
Canterbury-Bankstown,2017,6510,4615,0.2910906298003072
Carrathool,2011,NA,NA,NA
Carrathool,2012,NA,NA,NA
Carrathool,2013,NA,NA,NA
Carrathool,2014,57,40,0.2982456140350877
Carrathool,2015,31,40,-0.2903225806451613
Carrathool,2016,44,31,0.29545454545454547
Carrathool,2017,25,45,-0.8
Central,2011,NA,NA,NA
Central,2012,NA,NA,NA
Central,2013,NA,NA,NA
Central,2014,2898,2836,0.02139406487232574
Central,2015,2771,2880,-0.039335979790689285
Central,2016,3138,2800,0.1077119184193754
Central,2017,3273,2739,0.16315307057745188
Central,2011,NA,NA,NA
Central,2012,NA,NA,NA
Central,2013,NA,NA,NA
Central,2014,20,9,0.55
Central,2015,15,17,-0.13333333333333333
Central,2016,15,14,0.06666666666666667
Central,2017,12,16,-0.3333333333333333
Cessnock,2011,NA,NA,NA
Cessnock,2012,NA,NA,NA
Cessnock,2013,NA,NA,NA
Cessnock,2014,339,362,-0.06784660766961652
Cessnock,2015,334,335,-0.0029940119760479044
Cessnock,2016,368,338,0.08152173913043478
Cessnock,2017,364,343,0.057692307692307696
Clarence,2011,NA,NA,NA
Clarence,2012,NA,NA,NA
Clarence,2013,NA,NA,NA
Clarence,2014,356,437,-0.22752808988764045
Clarence,2015,337,430,-0.27596439169139464
Clarence,2016,389,419,-0.07712082262210797
Clarence,2017,416,407,0.021634615384615384
Cobar,2011,NA,NA,NA
Cobar,2012,NA,NA,NA
Cobar,2013,NA,NA,NA
Cobar,2014,54,37,0.3148148148148148
Cobar,2015,42,35,0.16666666666666666
Cobar,2016,48,45,0.0625
Cobar,2017,76,48,0.3684210526315789
Coffs,2011,NA,NA,NA
Coffs,2012,NA,NA,NA
Coffs,2013,NA,NA,NA
Coffs,2014,671,659,0.01788375558867362
Coffs,2015,631,669,-0.060221870047543584
Coffs,2016,706,665,0.05807365439093484
Coffs,2017,754,701,0.07029177718832891
Coolamon,2011,NA,NA,NA
Coolamon,2012,NA,NA,NA
Coolamon,2013,NA,NA,NA
Coolamon,2014,24,27,-0.125
Coolamon,2015,21,31,-0.47619047619047616
Coolamon,2016,32,25,0.21875
Coolamon,2017,33,37,-0.12121212121212122
Coonamble,2011,NA,NA,NA
Coonamble,2012,NA,NA,NA
Coonamble,2013,NA,NA,NA
Coonamble,2014,55,50,0.09090909090909091
Coonamble,2015,41,53,-0.2926829268292683
Coonamble,2016,53,39,0.2641509433962264
Coonamble,2017,38,47,-0.23684210526315788
Cowra,2011,NA,NA,NA
Cowra,2012,NA,NA,NA
Cowra,2013,NA,NA,NA
Cowra,2014,123,111,0.0975609756097561
Cowra,2015,119,141,-0.18487394957983194
Cowra,2016,108,115,-0.06481481481481481
Cowra,2017,135,116,0.14074074074074075
Cumberland,2011,NA,NA,NA
Cumberland,2012,NA,NA,NA
Cumberland,2013,NA,NA,NA
Cumberland,2014,3514,2762,0.21400113830392714
Cumberland,2015,3593,2823,0.21430559421096576
Cumberland,2016,4475,2856,0.3617877094972067
Cumberland,2017,5034,3157,0.3728645212554629
Dungog,2011,NA,NA,NA
Dungog,2012,NA,NA,NA
Dungog,2013,NA,NA,NA
Dungog,2014,90,95,-0.05555555555555555
Dungog,2015,80,105,-0.3125
Dungog,2016,97,107,-0.10309278350515463
Dungog,2017,124,75,0.3951612903225806
