LGA,YEAR,Median Employee income $
Fairfield,2011,37908
Fairfield,2012,39130
Fairfield,2013,40000
Fairfield,2014,40631
Fairfield,2015,41821
Fairfield,2016,43170
Fairfield,2017,-
Federation,2011,35438
Federation,2012,37465
Federation,2013,38209
Federation,2014,39180
Federation,2015,40561
Federation,2016,41409
Forbes,2011,33759
Forbes,2012,36234
Forbes,2013,37238
Forbes,2014,38438
Forbes,2015,39799
Forbes,2016,41955
Forbes,2017,-
Georges River,2011,42330
Georges River,2012,44114
Georges River,2013,45010
Georges River,2014,45957
Georges River,2015,47026
Georges River,2016,48427
Georges River,2017,-
Gilgandra,2011,32448
Gilgandra,2012,33114
Gilgandra,2013,33743
Gilgandra,2014,35778
Gilgandra,2015,35325
Gilgandra,2016,36969
Gilgandra,2017,-
Glen Innes Severn,2011,28673
Glen Innes Severn,2012,30479
Glen Innes Severn,2013,30981
Glen Innes Severn,2014,32363
Glen Innes Severn,2015,34087
Glen Innes Severn,2016,35000
Glen Innes Severn,2017,-
Goulburn Mulwaree,2011,40096
Goulburn Mulwaree,2012,41665
Goulburn Mulwaree,2013,42678
Goulburn Mulwaree,2014,43744
Goulburn Mulwaree,2015,45031
Goulburn Mulwaree,2016,47548
Goulburn Mulwaree,2017,-
Greater Hume Shire,2011,34267
Greater Hume Shire,2012,35181
Greater Hume Shire,2013,36633
Greater Hume Shire,2014,37500
Greater Hume Shire,2015,38938
Greater Hume Shire,2016,41117
Greater Hume Shire,2017,-
Griffith,2011,35836
Griffith,2012,37085
Griffith,2013,37705
Griffith,2014,39473
Griffith,2015,40482
Griffith,2016,41042
Griffith,2017,-
Gundagai,2011,35277
Gundagai,2012,36463
Gundagai,2013,37788
Gundagai,2014,38405
Gundagai,2015,39523
Gundagai,2016,40908
Gunnedah,2011,35046
Gunnedah,2012,37552
Gunnedah,2013,38991
Gunnedah,2014,40816
Gunnedah,2015,42754
Gunnedah,2016,44808
Gunnedah,2017,-
Gwydir,2011,33146
Gwydir,2012,34743
Gwydir,2013,36415
Gwydir,2014,36797
Gwydir,2015,38217
Gwydir,2016,39609
Gwydir,2017,-
Hawkesbury,2011,42723
Hawkesbury,2012,44551
Hawkesbury,2013,45558
Hawkesbury,2014,46940
Hawkesbury,2015,48573
Hawkesbury,2016,50476
Hawkesbury,2017,-
Hay,2011,32803
Hay,2012,33780
Hay,2013,35090
Hay,2014,36584
Hay,2015,36135
Hay,2016,38430
Hay,2017,-
Hilltops,2011,32564
Hilltops,2012,34002
Hilltops,2013,35188
Hilltops,2014,36702
Hilltops,2015,37702
Hilltops,2016,39088
Hilltops,2017,-
Hornsby,2011,48547
Hornsby,2012,50809
Hornsby,2013,52127
Hornsby,2014,53559
Hornsby,2015,54920
Hornsby,2016,57303
Hornsby,2017,-
Hunters Hill,2011,53222
Hunters Hill,2012,55690
Hunters Hill,2013,57654
Hunters Hill,2014,60000
Hunters Hill,2015,62282
Hunters Hill,2016,65042
Hunters Hill,2017,-
Inner West,2011,50000
Inner West,2012,52219
Inner West,2013,54170
Inner West,2014,55779
Inner West,2015,57536
Inner West,2016,59648
Inverell,2011,33987
Inverell,2012,35340
Inverell,2013,36400
Inverell,2014,37375
Inverell,2015,38765
Inverell,2016,40715
Inverell,2017,-
Junee,2011,37754
Junee,2012,39017
Junee,2013,40207
Junee,2014,40862
Junee,2015,43289
Junee,2016,44136
Junee,2017,-
Kempsey,2011,31717
Kempsey,2012,33350
Kempsey,2013,34882
Kempsey,2014,36190
Kempsey,2015,36362
Kempsey,2016,38249
Kempsey,2017,-
Kiama,2011,40656
Kiama,2012,43166
Kiama,2013,44163
Kiama,2014,45304
Kiama,2015,46754
Kiama,2016,49262
Kiama,2017,-
Ku-ring-gai,2011,50000
Ku-ring-gai,2012,51963
Ku-ring-gai,2013,53373
Ku-ring-gai,2014,55848
Ku-ring-gai,2015,57693
Ku-ring-gai,2016,60024
Ku-ring-gai,2017,-
Kyogle,2011,30530
Kyogle,2012,33817
Kyogle,2013,34704
Kyogle,2014,35732
Kyogle,2015,36467
Kyogle,2016,37498
Kyogle,2017,-
Lachlan,2011,30094
Lachlan,2012,32566
Lachlan,2013,33293
Lachlan,2014,35178
Lachlan,2015,36050
Lachlan,2016,38565
Lachlan,2017,-
Lake Macquarie,2011,41526
Lake Macquarie,2012,43759
Lake Macquarie,2013,45127
Lake Macquarie,2014,45864
Lake Macquarie,2015,47078
Lake Macquarie,2016,48637
Lake Macquarie,2017,-
Lane Cove,2011,56273
Lane Cove,2012,58764
Lane Cove,2013,60010
Lane Cove,2014,61797
Lane Cove,2015,63928
Lane Cove,2016,67114
Lane Cove,2017,-
Leeton,2011,36917
Leeton,2012,38897
Leeton,2013,40187
Leeton,2014,41697
Leeton,2015,44288
Leeton,2016,45783
Leeton,2017,-
Lismore,2011,34939
Lismore,2012,36336
Lismore,2013,36997
Lismore,2014,38355
Lismore,2015,39466
Lismore,2016,41325
Lismore,2017,-
Lithgow,2011,41649
Lithgow,2012,43379
Lithgow,2013,43949
Lithgow,2014,44877
Lithgow,2015,45319
Lithgow,2016,46628
Lithgow,2017,-
Liverpool,2011,43342
Liverpool,2012,44800
Liverpool,2013,45975
Liverpool,2014,46854
Liverpool,2015,48276
Liverpool,2016,49850
Liverpool,2017,-
Liverpool Plains,2011,34411
Liverpool Plains,2012,36354
Liverpool Plains,2013,36529
Liverpool Plains,2014,37208
Liverpool Plains,2015,40005
Liverpool Plains,2016,41243
Liverpool Plains,2017,-
Lockhart,2011,33829
Lockhart,2012,35355
Lockhart,2013,36652
Lockhart,2014,37335
Lockhart,2015,39674
Lockhart,2016,41552
Lockhart,2017,-
Maitland,2011,44157
Maitland,2012,46794
Maitland,2013,47596
Maitland,2014,48556
Maitland,2015,49312
Maitland,2016,50790
Maitland,2017,-
Mid-Coast,2011,32401
Mid-Coast,2012,33978
Mid-Coast,2013,35137
Mid-Coast,2014,35721
Mid-Coast,2015,36943
Mid-Coast,2016,39150
Mid-Coast,2017,-
Mid-Western Regional,2011,36000
Mid-Western Regional,2012,39353
Mid-Western Regional,2013,40739
Mid-Western Regional,2014,41730
Mid-Western Regional,2015,42640
Mid-Western Regional,2016,44567
Mid-Western Regional,2017,-
Moree Plains,2011,36120
Moree Plains,2012,37143
