"","LGA","year","hosp_rate","death_rate"
"1730","Warren","2007",937.2,21.8
"1731","Warren","2008",916.3,19.8
"1732","Warren","2009",858.2,19.6
"1733","Warren","2010",815.3,20.9
"1734","Warren","2011",737.8,21
"1735","Warren","2012",722.9,20.1
"1736","Warren","2013",739.9,20.2
"1737","Warren","2014",719.6,19.9
"1738","Warren","2015",686.2,19.9
"1739","Warren","2016",616.4,21.4
"1740","Warren","2017",617.6,NA
"1741","Warrumbungle Shire","2003",706.2,26.6
"1742","Warrumbungle Shire","2004",684.8,24.6
"1743","Warrumbungle Shire","2005",707.3,23.9
"1744","Warrumbungle Shire","2006",696.9,23.5
"1745","Warrumbungle Shire","2007",712.8,22
"1746","Warrumbungle Shire","2008",679.1,20.1
"1747","Warrumbungle Shire","2009",644.2,19.9
"1748","Warrumbungle Shire","2010",659.3,21.1
"1749","Warrumbungle Shire","2011",614.2,21
"1750","Warrumbungle Shire","2012",554.1,20.2
"1751","Warrumbungle Shire","2013",561.6,20.6
"1752","Warrumbungle Shire","2014",542.8,20.5
"1753","Warrumbungle Shire","2015",503.1,20.4
"1754","Warrumbungle Shire","2016",474,21.7
"1755","Warrumbungle Shire","2017",486.3,NA
"1756","Waverley","2003",652.1,21.6
"1757","Waverley","2004",680.2,21.8
"1758","Waverley","2005",615.6,21.7
"1759","Waverley","2006",634.7,20.8
"1760","Waverley","2007",756.7,19.4
"1761","Waverley","2008",746,16.5
"1762","Waverley","2009",674.2,15.9
"1763","Waverley","2010",673.8,17.3
"1764","Waverley","2011",737,16
"1765","Waverley","2012",846.2,13.4
"1766","Waverley","2013",836.5,13.5
"1767","Waverley","2014",774,14.3
"1768","Waverley","2015",750.8,14.8
"1769","Waverley","2016",780.1,13.6
"1770","Waverley","2017",898.3,NA
"1771","Weddin","2003",741.8,26.6
"1772","Weddin","2004",691.4,24.4
"1773","Weddin","2005",682.6,22.7
"1774","Weddin","2006",697.7,22.6
"1775","Weddin","2007",729.8,22.1
"1776","Weddin","2008",749.6,19.9
"1777","Weddin","2009",695.5,19.6
"1778","Weddin","2010",643.9,20.8
"1779","Weddin","2011",619.3,21.5
"1780","Weddin","2012",651.1,20.8
"1781","Weddin","2013",706.5,20
"1782","Weddin","2014",664.7,19.5
"1783","Weddin","2015",588.9,19.9
"1784","Weddin","2016",559.7,21
"1785","Weddin","2017",568.3,NA
"1786","Wentworth","2003",675.2,25.9
"1787","Wentworth","2004",634.9,23.8
"1788","Wentworth","2005",636.9,22.2
"1789","Wentworth","2006",667.8,21.8
"1790","Wentworth","2007",640.5,21
"1791","Wentworth","2008",604.3,19
"1792","Wentworth","2009",656.2,18.7
"1793","Wentworth","2010",675.3,19.9
"1794","Wentworth","2011",605.6,20.4
"1795","Wentworth","2012",590,19.6
"1796","Wentworth","2013",562.2,19.3
"1797","Wentworth","2014",533,18.5
"1798","Wentworth","2015",535.4,18.7
"1799","Wentworth","2016",509.3,20.5
"1800","Wentworth","2017",526.3,NA
"1801","Western Plains Regional","2003",627.1,27.2
"1802","Western Plains Regional","2004",598.8,24.5
"1803","Western Plains Regional","2005",567,24
"1804","Western Plains Regional","2006",582.8,25
"1805","Western Plains Regional","2007",620.3,22.8
"1806","Western Plains Regional","2008",600.8,19.9
"1807","Western Plains Regional","2009",549.2,20
"1808","Western Plains Regional","2010",503.1,21.5
"1809","Western Plains Regional","2011",463.2,21.6
"1810","Western Plains Regional","2012",445.6,19.5
"1811","Western Plains Regional","2013",465.3,20.4
"1812","Western Plains Regional","2014",452.9,21
"1813","Western Plains Regional","2015",415.1,20.3
"1814","Western Plains Regional","2016",379.8,22.3
"1815","Western Plains Regional","2017",390.7,NA
"1816","Willoughby","2003",452.8,18.8
"1817","Willoughby","2004",475.3,17.9
"1818","Willoughby","2005",541.3,16.5
"1819","Willoughby","2006",505.7,14.8
"1820","Willoughby","2007",544.1,14.4
"1821","Willoughby","2008",582,14.4
"1822","Willoughby","2009",595.3,12.5
"1823","Willoughby","2010",674.9,12.5
"1824","Willoughby","2011",700.9,12.8
"1825","Willoughby","2012",664.3,12.2
"1826","Willoughby","2013",617.8,10.5
"1827","Willoughby","2014",625.3,9.9
"1828","Willoughby","2015",576.8,11.1
"1829","Willoughby","2016",652.4,10.9
"1830","Willoughby","2017",717.9,NA
"1831","Wingecarribee","2003",477.9,28.1
"1832","Wingecarribee","2004",484,24.5
"1833","Wingecarribee","2005",553.8,22.7
"1834","Wingecarribee","2006",545.7,23.1
"1835","Wingecarribee","2007",608.1,22.8
"1836","Wingecarribee","2008",713.2,21.9
"1837","Wingecarribee","2009",662,22.1
"1838","Wingecarribee","2010",603.3,21.7
"1839","Wingecarribee","2011",601.6,20.8
"1840","Wingecarribee","2012",575.9,20.7
"1841","Wingecarribee","2013",570.2,20.1
"1842","Wingecarribee","2014",563,20.2
"1843","Wingecarribee","2015",567.9,21.2
"1844","Wingecarribee","2016",545,21
"1845","Wingecarribee","2017",550.7,NA
"1846","Wollondilly","2003",510.6,26.3
"1847","Wollondilly","2004",414.9,24.9
"1848","Wollondilly","2005",374.4,23.4
"1849","Wollondilly","2006",372,23
"1850","Wollondilly","2007",390.9,23.2
"1851","Wollondilly","2008",434.7,22
"1852","Wollondilly","2009",456.1,21
"1853","Wollondilly","2010",442.3,20.6
"1854","Wollondilly","2011",460.2,20.4
"1855","Wollondilly","2012",469.9,20.3
"1856","Wollondilly","2013",487.5,19.8
"1857","Wollondilly","2014",516.7,19.8
"1858","Wollondilly","2015",529.6,19.8
"1859","Wollondilly","2016",495.2,19.7
"1860","Wollondilly","2017",450,NA
"1861","Wollongong","2003",547.7,26.5
"1862","Wollongong","2004",549.7,24
"1863","Wollongong","2005",571.6,23.4
"1864","Wollongong","2006",575.3,23.7
"1865","Wollongong","2007",572.1,25.6
"1866","Wollongong","2008",596.1,25.3
"1867","Wollongong","2009",593.6,22.7
"1868","Wollongong","2010",522.3,21.9
"1869","Wollongong","2011",530.6,20.6
"1870","Wollongong","2012",579.9,20.1
"1871","Wollongong","2013",577.3,20.2
"1872","Wollongong","2014",574.7,20.6
"1873","Wollongong","2015",553.5,21.9
"1874","Wollongong","2016",507.6,20.5
"1875","Wollongong","2017",500,NA
"1876","Woollahra","2003",644.6,22.4
"1877","Woollahra","2004",580.3,22.9
"1878","Woollahra","2005",597.7,22.2
"1879","Woollahra","2006",681.2,21.6
"1880","Woollahra","2007",730.4,21.2
"1881","Woollahra","2008",759.4,18.9
"1882","Woollahra","2009",702.8,18.1
"1883","Woollahra","2010",690.4,18.1
"1884","Woollahra","2011",708.6,16.7
"1885","Woollahra","2012",904.2,15
"1886","Woollahra","2013",912.9,15.7
"1887","Woollahra","2014",710.2,17.2
"1888","Woollahra","2015",832.2,17.3
"1889","Woollahra","2016",928.8,15.7
"1890","Woollahra","2017",853.5,NA
"1891","Yass Valley","2003",437.2,27.7
"1892","Yass Valley","2004",400.6,25
"1893","Yass Valley","2005",396.2,22.8
"1894","Yass Valley","2006",399.7,22.7
"1895","Yass Valley","2007",403.6,22.5
"1896","Yass Valley","2008",418,20.6
"1897","Yass Valley","2009",492.2,19.9
"1898","Yass Valley","2010",506.5,21
"1899","Yass Valley","2011",498.2,21.9
"1900","Yass Valley","2012",508.2,21.1
"1901","Yass Valley","2013",513.5,20.1
"1902","Yass Valley","2014",539.7,19.6
"1903","Yass Valley","2015",515.3,20
"1904","Yass Valley","2016",492.3,20.7
"1905","Yass Valley","2017",485,NA
"1906","Unincorporated NSW","2003",894.5,26
"1907","Unincorporated NSW","2004",888.9,24
"1908","Unincorporated NSW","2005",875,22.3
"1909","Unincorporated NSW","2006",839.9,21.8
"1910","Unincorporated NSW","2007",853.3,20.8
"1911","Unincorporated NSW","2008",815.6,18.9
"1912","Unincorporated NSW","2009",825.8,18.7
"1913","Unincorporated NSW","2010",824.9,20
"1914","Unincorporated NSW","2011",704.4,20.4
"1915","Unincorporated NSW","2012",681.9,20
"1916","Unincorporated NSW","2013",674.8,19.6
"1917","Unincorporated NSW","2014",618.3,18.6
"1918","Unincorporated NSW","2015",599.1,18.7
"1919","Unincorporated NSW","2016",576,20.9
"1920","Unincorporated NSW","2017",613.5,NA
"1921","North Sydney","2003",593.2,19.4
"1922","North Sydney","2004",653.5,18.3
"1923","North Sydney","2005",674.4,16.1
"1924","North Sydney","2006",675,13.3
"1925","North Sydney","2007",649.4,12.7
"1926","North Sydney","2008",589,12.2
"1927","North Sydney","2009",659.5,11
"1928","North Sydney","2010",825.6,10.5
"1929","North Sydney","2011",882.6,10.4
"1930","North Sydney","2012",972.4,10.4
"1931","North Sydney","2013",961.5,9.4
"1932","North Sydney","2014",851.5,8.9
"1933","North Sydney","2015",811.4,10.1
"1934","North Sydney","2016",755.9,9.8
"1935","North Sydney","2017",685.9,NA
