 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Males, Southern NSW LHD, 2008-2009, Less than weekly,377,19.6,14.4,24.8
 Males, Southern NSW LHD, 2008-2009, Weekly,377,40.3,33.7,46.9
 Males, Southern NSW LHD, 2008-2009, Daily,377,18.7,13.9,23.4
 Males, Southern NSW LHD, 2009-2010, Never,397,19.2,14,24.4
 Males, Southern NSW LHD, 2009-2010, Less than weekly,397,22.7,16.9,28.6
 Males, Southern NSW LHD, 2009-2010, Weekly,397,38.3,31.8,44.7
 Males, Southern NSW LHD, 2009-2010, Daily,397,19.8,15.2,24.5
 Males, Southern NSW LHD, 2010-2011, Never,478,17.7,12.6,22.7
 Males, Southern NSW LHD, 2010-2011, Less than weekly,478,22.1,16.3,28
 Males, Southern NSW LHD, 2010-2011, Weekly,478,40.5,34.2,46.8
 Males, Southern NSW LHD, 2010-2011, Daily,478,19.7,15.5,23.9
 Males, Southern NSW LHD, 2011-2012, Never,623,17.1,12.5,21.8
 Males, Southern NSW LHD, 2011-2012, Less than weekly,623,22.4,16.7,28.2
 Males, Southern NSW LHD, 2011-2012, Weekly,623,44.6,37.6,51.5
 Males, Southern NSW LHD, 2011-2012, Daily,623,15.8,12,19.7
 Males, Southern NSW LHD, 2012-2013, Never,617,21.1,14.7,27.4
 Males, Southern NSW LHD, 2012-2013, Less than weekly,617,23.8,17,30.5
 Males, Southern NSW LHD, 2012-2013, Weekly,617,42.7,35.1,50.4
 Males, Southern NSW LHD, 2012-2013, Daily,617,12.4,8.7,16.1
 Males, Southern NSW LHD, 2013-2014, Never,617,24.2,17.3,31
 Males, Southern NSW LHD, 2013-2014, Less than weekly,617,21.8,14.6,29
 Males, Southern NSW LHD, 2013-2014, Weekly,617,42.5,35.2,49.9
 Males, Southern NSW LHD, 2013-2014, Daily,617,11.5,8.4,14.6
 Males, Southern NSW LHD, 2014-2015, Never,685,21.4,15.8,27
 Males, Southern NSW LHD, 2014-2015, Less than weekly,685,19.8,13.8,25.7
 Males, Southern NSW LHD, 2014-2015, Weekly,685,45.3,38.4,52.3
 Males, Southern NSW LHD, 2014-2015, Daily,685,13.5,10,17
 Males, Southern NSW LHD, 2015-2016, Never,685,20.4,14.5,26.2
 Males, Southern NSW LHD, 2015-2016, Less than weekly,685,21.5,14.5,28.5
 Males, Southern NSW LHD, 2015-2016, Weekly,685,42.6,35,50.2
 Males, Southern NSW LHD, 2015-2016, Daily,685,15.5,11.2,19.9
 Males, Southern NSW LHD, 2016-2017, Never,710,19,13.2,24.8
 Males, Southern NSW LHD, 2016-2017, Less than weekly,710,23,15.3,30.7
 Males, Southern NSW LHD, 2016-2017, Weekly,710,44.1,35.6,52.6
 Males, Southern NSW LHD, 2016-2017, Daily,710,13.9,9.5,18.3
 Males, Murrumbidgee LHD, 2002-2003, Never,558,14.2,11.2,17.2
 Males, Murrumbidgee LHD, 2002-2003, Less than weekly,558,20.1,16.2,23.9
 Males, Murrumbidgee LHD, 2002-2003, Weekly,558,46.5,41.8,51.2
 Males, Murrumbidgee LHD, 2002-2003, Daily,558,19.2,15.9,22.5
 Males, Murrumbidgee LHD, 2003-2004, Never,491,13.6,10.2,17
 Males, Murrumbidgee LHD, 2003-2004, Less than weekly,491,18.2,14.3,22.2
 Males, Murrumbidgee LHD, 2003-2004, Weekly,491,48.2,43.3,53.1
 Males, Murrumbidgee LHD, 2003-2004, Daily,491,20,16.3,23.7
 Males, Murrumbidgee LHD, 2004-2005, Never,491,17,13.3,20.7
 Males, Murrumbidgee LHD, 2004-2005, Less than weekly,491,19.5,15.4,23.7
 Males, Murrumbidgee LHD, 2004-2005, Weekly,491,46.2,41.2,51.3
 Males, Murrumbidgee LHD, 2004-2005, Daily,491,17.2,13.7,20.7
 Males, Murrumbidgee LHD, 2005-2006, Never,504,16.5,13,19.9
 Males, Murrumbidgee LHD, 2005-2006, Less than weekly,504,18.4,14,22.9
 Males, Murrumbidgee LHD, 2005-2006, Weekly,504,46.5,41,51.9
 Males, Murrumbidgee LHD, 2005-2006, Daily,504,18.6,14.8,22.5
 Males, Murrumbidgee LHD, 2006-2007, Never,389,16,12.1,19.9
 Males, Murrumbidgee LHD, 2006-2007, Less than weekly,389,18.9,13.6,24.3
 Males, Murrumbidgee LHD, 2006-2007, Weekly,389,46.1,39.7,52.5
 Males, Murrumbidgee LHD, 2006-2007, Daily,389,18.9,14.4,23.5
 Males, Murrumbidgee LHD, 2007-2008, Never,380,17.2,12.5,21.9
 Males, Murrumbidgee LHD, 2007-2008, Less than weekly,380,16.9,12.1,21.8
 Males, Murrumbidgee LHD, 2007-2008, Weekly,380,49,42.6,55.5
 Males, Murrumbidgee LHD, 2007-2008, Daily,380,16.9,12.3,21.4
 Males, Murrumbidgee LHD, 2008-2009, Never,439,17.7,13.5,21.9
 Males, Murrumbidgee LHD, 2008-2009, Less than weekly,439,17.3,12.8,21.8
 Males, Murrumbidgee LHD, 2008-2009, Weekly,439,46.8,40.9,52.7
 Males, Murrumbidgee LHD, 2008-2009, Daily,439,18.2,13.7,22.7
 Males, Murrumbidgee LHD, 2009-2010, Never,456,19.9,15.6,24.1
 Males, Murrumbidgee LHD, 2009-2010, Less than weekly,456,22,17.1,26.9
 Males, Murrumbidgee LHD, 2009-2010, Weekly,456,41.7,36.1,47.2
 Males, Murrumbidgee LHD, 2009-2010, Daily,456,16.5,12.5,20.4
 Males, Murrumbidgee LHD, 2010-2011, Never,514,22.1,17.3,26.9
 Males, Murrumbidgee LHD, 2010-2011, Less than weekly,514,21.8,16.8,26.7
 Males, Murrumbidgee LHD, 2010-2011, Weekly,514,41.4,35.9,46.8
 Males, Murrumbidgee LHD, 2010-2011, Daily,514,14.7,11.4,18
 Males, Murrumbidgee LHD, 2011-2012, Never,610,22.2,17.2,27.2
 Males, Murrumbidgee LHD, 2011-2012, Less than weekly,610,17.9,13.2,22.5
 Males, Murrumbidgee LHD, 2011-2012, Weekly,610,43.7,37.6,49.9
 Males, Murrumbidgee LHD, 2011-2012, Daily,610,16.2,11.9,20.4
 Males, Murrumbidgee LHD, 2012-2013, Never,601,20.1,15.5,24.6
 Males, Murrumbidgee LHD, 2012-2013, Less than weekly,601,19.2,13.2,25.2
 Males, Murrumbidgee LHD, 2012-2013, Weekly,601,42.7,35.8,49.7
 Males, Murrumbidgee LHD, 2012-2013, Daily,601,18,12.2,23.7
 Males, Murrumbidgee LHD, 2013-2014, Never,577,24.8,19.5,30.1
 Males, Murrumbidgee LHD, 2013-2014, Less than weekly,577,22.2,15.5,28.9
 Males, Murrumbidgee LHD, 2013-2014, Weekly,577,35.1,28.3,41.9
 Males, Murrumbidgee LHD, 2013-2014, Daily,577,17.9,12.3,23.5
 Males, Murrumbidgee LHD, 2014-2015, Never,619,24.8,19.4,30.3
 Males, Murrumbidgee LHD, 2014-2015, Less than weekly,619,19.7,14.1,25.2
 Males, Murrumbidgee LHD, 2014-2015, Weekly,619,38.5,31.8,45.2
 Males, Murrumbidgee LHD, 2014-2015, Daily,619,17.1,12.1,22
 Males, Murrumbidgee LHD, 2015-2016, Never,655,23.6,16.7,30.4
 Males, Murrumbidgee LHD, 2015-2016, Less than weekly,655,20,14,26.1
 Males, Murrumbidgee LHD, 2015-2016, Weekly,655,41.7,34.1,49.2
 Males, Murrumbidgee LHD, 2015-2016, Daily,655,14.8,9.1,20.5
 Males, Murrumbidgee LHD, 2016-2017, Never,679,22.8,14.8,30.7
 Males, Murrumbidgee LHD, 2016-2017, Less than weekly,679,21.6,14.5,28.7
 Males, Murrumbidgee LHD, 2016-2017, Weekly,679,41.8,33.7,49.9
 Males, Murrumbidgee LHD, 2016-2017, Daily,679,13.8,8.2,19.4
 Males, Western NSW LHD, 2002-2003, Never,"1,343",19,16.6,21.4
 Males, Western NSW LHD, 2002-2003, Less than weekly,"1,343",21.4,18.8,24
 Males, Western NSW LHD, 2002-2003, Weekly,"1,343",42.9,39.8,46
 Males, Western NSW LHD, 2002-2003, Daily,"1,343",16.7,14.5,18.8
 Males, Western NSW LHD, 2003-2004, Never,"1,177",18.4,15.9,20.8
 Males, Western NSW LHD, 2003-2004, Less than weekly,"1,177",21.2,18.5,24
 Males, Western NSW LHD, 2003-2004, Weekly,"1,177",39.8,36.6,43
 Males, Western NSW LHD, 2003-2004, Daily,"1,177",20.6,18,23.2
 Males, Western NSW LHD, 2004-2005, Never,"1,037",19.1,16.6,21.7
 Males, Western NSW LHD, 2004-2005, Less than weekly,"1,037",22.6,19.7,25.6
 Males, Western NSW LHD, 2004-2005, Weekly,"1,037",38.3,34.9,41.6
 Males, Western NSW LHD, 2004-2005, Daily,"1,037",19.9,17.3,22.6
 Males, Western NSW LHD, 2005-2006, Never,840,20.2,17.2,23.2
 Males, Western NSW LHD, 2005-2006, Less than weekly,840,21.2,17.8,24.6
 Males, Western NSW LHD, 2005-2006, Weekly,840,40.1,36,44.3
 Males, Western NSW LHD, 2005-2006, Daily,840,18.4,15.5,21.3
 Males, Western NSW LHD, 2006-2007, Never,592,18.1,14.7,21.5
 Males, Western NSW LHD, 2006-2007, Less than weekly,592,23.6,19.5,27.8
 Males, Western NSW LHD, 2006-2007, Weekly,592,41.2,36.2,46.2
 Males, Western NSW LHD, 2006-2007, Daily,592,17.1,13.8,20.4
 Males, Western NSW LHD, 2007-2008, Never,602,21.1,17.3,25
 Males, Western NSW LHD, 2007-2008, Less than weekly,602,24.7,20.5,29
 Males, Western NSW LHD, 2007-2008, Weekly,602,40.6,35.8,45.4
 Males, Western NSW LHD, 2007-2008, Daily,602,13.6,10.7,16.5
 Males, Western NSW LHD, 2008-2009, Never,748,22.4,18.9,25.9
 Males, Western NSW LHD, 2008-2009, Less than weekly,748,19.5,15.9,23
 Males, Western NSW LHD, 2008-2009, Weekly,748,41.2,36.9,45.4
 Males, Western NSW LHD, 2008-2009, Daily,748,17,13.9,20
 Males, Western NSW LHD, 2009-2010, Never,772,21.4,18,24.7
 Males, Western NSW LHD, 2009-2010, Less than weekly,772,20,16.5,23.4
 Males, Western NSW LHD, 2009-2010, Weekly,772,41.5,37.3,45.6
 Males, Western NSW LHD, 2009-2010, Daily,772,17.2,14.3,20.1
 Males, Western NSW LHD, 2010-2011, Never,602,20.6,16.4,24.8
 Males, Western NSW LHD, 2010-2011, Less than weekly,602,22.1,17.3,26.8
 Males, Western NSW LHD, 2010-2011, Weekly,602,43.7,38,49.4
 Males, Western NSW LHD, 2010-2011, Daily,602,13.6,10.8,16.4
 Males, Western NSW LHD, 2011-2012, Never,553,18.9,14.5,23.4
 Males, Western NSW LHD, 2011-2012, Less than weekly,553,28.9,22.9,35
 Males, Western NSW LHD, 2011-2012, Weekly,553,39.8,33.5,46.1
 Males, Western NSW LHD, 2011-2012, Daily,553,12.3,9,15.6
 Males, Western NSW LHD, 2012-2013, Never,609,19.5,15.2,23.8
 Males, Western NSW LHD, 2012-2013, Less than weekly,609,29.5,23.7,35.4
 Males, Western NSW LHD, 2012-2013, Weekly,609,39.3,33.4,45.2
 Males, Western NSW LHD, 2012-2013, Daily,609,11.7,8.2,15.2
 Males, Western NSW LHD, 2013-2014, Never,594,22.1,16.8,27.4
 Males, Western NSW LHD, 2013-2014, Less than weekly,594,25.5,19.6,31.5
 Males, Western NSW LHD, 2013-2014, Weekly,594,41.1,34.6,47.7
 Males, Western NSW LHD, 2013-2014, Daily,594,11.3,8,14.6
 Males, Western NSW LHD, 2014-2015, Never,618,22.5,15.9,29
 Males, Western NSW LHD, 2014-2015, Less than weekly,618,27.9,21.6,34.1
 Males, Western NSW LHD, 2014-2015, Weekly,618,36.3,29.8,42.9
 Males, Western NSW LHD, 2014-2015, Daily,618,13.3,9.6,17.1
 Males, Western NSW LHD, 2015-2016, Never,629,19.6,12.7,26.5
 Males, Western NSW LHD, 2015-2016, Less than weekly,629,25.9,19.6,32.3
 Males, Western NSW LHD, 2015-2016, Weekly,629,40.4,32.8,48
 Males, Western NSW LHD, 2015-2016, Daily,629,14.1,9.4,18.7
 Males, Western NSW LHD, 2016-2017, Never,702,19.2,13.5,24.8
 Males, Western NSW LHD, 2016-2017, Less than weekly,702,26.3,19.7,32.9
 Males, Western NSW LHD, 2016-2017, Weekly,702,37.4,30.1,44.6
 Males, Western NSW LHD, 2016-2017, Daily,702,17.2,11.7,22.7
 Males, Far West LHD, 2002-2003, Never,472,16.5,12.9,20
 Males, Far West LHD, 2002-2003, Less than weekly,472,23.2,18.8,27.6
 Males, Far West LHD, 2002-2003, Weekly,472,42.3,37.3,47.2
 Males, Far West LHD, 2002-2003, Daily,472,18.1,14.3,21.8
 Males, Far West LHD, 2003-2004, Never,423,18.1,14.2,21.9
 Males, Far West LHD, 2003-2004, Less than weekly,423,20.5,16.2,24.8
 Males, Far West LHD, 2003-2004, Weekly,423,44.2,39,49.4
 Males, Far West LHD, 2003-2004, Daily,423,17.2,13.3,21.2
 Males, Far West LHD, 2004-2005, Never,248,22,15.2,28.8
 Males, Far West LHD, 2004-2005, Less than weekly,248,19.3,11.6,27
 Males, Far West LHD, 2004-2005, Weekly,248,39.5,31.1,48
 Males, Far West LHD, 2004-2005, Daily,248,19.2,12.3,26.1
 Males, Far West LHD, 2005-2006, Never,123,21.8,13.2,30.5
 Males, Far West LHD, 2005-2006, Less than weekly,123,23.7,11.7,35.7
 Males, Far West LHD, 2005-2006, Weekly,123,32.4,21.8,42.9
 Males, Far West LHD, 2005-2006, Daily,123,22.1,12.1,32
 Males, Far West LHD, 2006-2007, Never,86,20.3,11.1,29.6
 Males, Far West LHD, 2006-2007, Less than weekly,86,21.4,7.8,35.1
 Males, Far West LHD, 2006-2007, Weekly,86,42.8,29.8,55.8
 Males, Far West LHD, 2006-2007, Daily,86,15.5,4.6,26.3
 Males, Far West LHD, 2007-2008, Never,76,16.2,8.4,24
 Males, Far West LHD, 2007-2008, Less than weekly,76,24.2,10.6,37.8
 Males, Far West LHD, 2007-2008, Weekly,76,41.2,27.6,54.8
 Males, Far West LHD, 2007-2008, Daily,76,18.4,5.6,31.1
 Males, Far West LHD, 2008-2009, Never,101,17.9,9.9,26
 Males, Far West LHD, 2008-2009, Less than weekly,101,31.7,18.4,45.1
 Males, Far West LHD, 2008-2009, Weekly,101,33.5,22.4,44.7
 Males, Far West LHD, 2008-2009, Daily,101,16.8,6.2,27.5
 Males, Far West LHD, 2009-2010, Never,98,20.3,11,29.7
 Males, Far West LHD, 2009-2010, Less than weekly,98,25.1,12.2,38.1
 Males, Far West LHD, 2009-2010, Weekly,98,40.7,28.6,52.9
 Males, Far West LHD, 2009-2010, Daily,98,13.8,5.5,22
 Males, Far West LHD, 2010-2011, Never,353,21.7,14.2,29.1
 Males, Far West LHD, 2010-2011, Less than weekly,353,24.1,14.9,33.3
 Males, Far West LHD, 2010-2011, Weekly,353,39,29.3,48.7
 Males, Far West LHD, 2010-2011, Daily,353,15.2,8.3,22.2
 Males, Far West LHD, 2011-2012, Never,558,19.4,15.2,23.6
 Males, Far West LHD, 2011-2012, Less than weekly,558,27.3,21.4,33.2
 Males, Far West LHD, 2011-2012, Weekly,558,40.4,33.6,47.3
 Males, Far West LHD, 2011-2012, Daily,558,12.9,9.1,16.8
 Males, Far West LHD, 2012-2013, Never,443,20.8,13.4,28.3
 Males, Far West LHD, 2012-2013, Less than weekly,443,22.4,16,28.8
 Males, Far West LHD, 2012-2013, Weekly,443,40.9,32.1,49.8
 Males, Far West LHD, 2012-2013, Daily,443,15.9,10.9,20.9
 Males, Far West LHD, 2013-2014, Never,461,30,21,39.1
 Males, Far West LHD, 2013-2014, Less than weekly,461,18.2,11.6,24.9
 Males, Far West LHD, 2013-2014, Weekly,461,37.1,27.8,46.3
 Males, Far West LHD, 2013-2014, Daily,461,14.7,10.1,19.3
 Males, Far West LHD, 2014-2015, Never,632,30.8,22.9,38.7
 Males, Far West LHD, 2014-2015, Less than weekly,632,21.7,14.6,28.9
 Males, Far West LHD, 2014-2015, Weekly,632,37.4,29.7,45.2
 Males, Far West LHD, 2014-2015, Daily,632,10.1,6.7,13.4
 Males, Far West LHD, 2015-2016, Never,694,26.6,19.8,33.4
 Males, Far West LHD, 2015-2016, Less than weekly,694,26.8,18.3,35.3
 Males, Far West LHD, 2015-2016, Weekly,694,36.2,29.1,43.3
 Males, Far West LHD, 2015-2016, Daily,694,10.4,6.9,13.9
 Males, Far West LHD, 2016-2017, Never,649,20.5,15,25.9
 Males, Far West LHD, 2016-2017, Less than weekly,649,29,19.8,38.2
 Males, Far West LHD, 2016-2017, Weekly,649,37.1,29.5,44.7
 Males, Far West LHD, 2016-2017, Daily,649,13.4,9,17.8
 Males," Albury Wodonga Health Authority, NSW Part", 2002-2003, Never,94,7,2,11.9
 Males," Albury Wodonga Health Authority, NSW Part", 2002-2003, Less than weekly,94,25.4,13.9,37
 Males," Albury Wodonga Health Authority, NSW Part", 2002-2003, Weekly,94,51.6,39.5,63.8
 Males," Albury Wodonga Health Authority, NSW Part", 2002-2003, Daily,94,16,8.4,23.5
 Males," Albury Wodonga Health Authority, NSW Part", 2003-2004, Never,90,14.5,6.4,22.7
 Males," Albury Wodonga Health Authority, NSW Part", 2003-2004, Less than weekly,90,21.4,11.8,30.9
 Males," Albury Wodonga Health Authority, NSW Part", 2003-2004, Weekly,90,42.4,31.4,53.3
 Males," Albury Wodonga Health Authority, NSW Part", 2003-2004, Daily,90,21.7,12.7,30.7
 Males," Albury Wodonga Health Authority, NSW Part", 2004-2005, Never,104,20.7,11.7,29.8
 Males," Albury Wodonga Health Authority, NSW Part", 2004-2005, Less than weekly,104,20,11.2,28.7
 Males," Albury Wodonga Health Authority, NSW Part", 2004-2005, Weekly,104,43.6,31.9,55.2
 Males," Albury Wodonga Health Authority, NSW Part", 2004-2005, Daily,104,15.7,7.8,23.7
 Males," Albury Wodonga Health Authority, NSW Part", 2005-2006, Never,103,19.5,8.8,30.1
 Males," Albury Wodonga Health Authority, NSW Part", 2005-2006, Less than weekly,103,17.6,8,27.2
 Males," Albury Wodonga Health Authority, NSW Part", 2005-2006, Weekly,103,53.4,39.4,67.3
 Males," Albury Wodonga Health Authority, NSW Part", 2005-2006, Daily,103,9.6,3,16.1
 Males," Albury Wodonga Health Authority, NSW Part", 2006-2007, Never,67,16.4,3.4,29.3
 Males," Albury Wodonga Health Authority, NSW Part", 2006-2007, Less than weekly,67,8.5,0,18.4
 Males," Albury Wodonga Health Authority, NSW Part", 2006-2007, Weekly,67,61.7,44.9,78.5
 Males," Albury Wodonga Health Authority, NSW Part", 2006-2007, Daily,67,13.5,4,22.9
 Males," Albury Wodonga Health Authority, NSW Part", 2007-2008, Never,74,10.8,3.9,17.8
 Males," Albury Wodonga Health Authority, NSW Part", 2007-2008, Less than weekly,74,25.2,10.8,39.6
 Males," Albury Wodonga Health Authority, NSW Part", 2007-2008, Weekly,74,48,32.9,63
 Males," Albury Wodonga Health Authority, NSW Part", 2007-2008, Daily,74,16,7.4,24.7
 Males," Albury Wodonga Health Authority, NSW Part", 2008-2009, Never,95,12,5.4,18.5
 Males," Albury Wodonga Health Authority, NSW Part", 2008-2009, Less than weekly,95,29.3,16.8,41.9
 Males," Albury Wodonga Health Authority, NSW Part", 2008-2009, Weekly,95,44.3,31.4,57.2
 Males," Albury Wodonga Health Authority, NSW Part", 2008-2009, Daily,95,14.4,7.5,21.4
 Males," Albury Wodonga Health Authority, NSW Part", 2009-2010, Never,88,14.5,6.9,22.1
 Males," Albury Wodonga Health Authority, NSW Part", 2009-2010, Less than weekly,88,25,11.7,38.3
 Males," Albury Wodonga Health Authority, NSW Part", 2009-2010, Weekly,88,47.5,33.4,61.6
 Males," Albury Wodonga Health Authority, NSW Part", 2009-2010, Daily,88,13,5.7,20.3
 Males," Albury Wodonga Health Authority, NSW Part", 2010-2011, Never,148,21.5,11.5,31.6
 Males," Albury Wodonga Health Authority, NSW Part", 2010-2011, Less than weekly,148,26.4,14.1,38.7
 Males," Albury Wodonga Health Authority, NSW Part", 2010-2011, Weekly,148,38.6,26.3,51
 Males," Albury Wodonga Health Authority, NSW Part", 2010-2011, Daily,148,13.4,6.9,19.9
 Males," Albury Wodonga Health Authority, NSW Part", 2011-2012, Never,195,18.2,6.5,29.8
 Males," Albury Wodonga Health Authority, NSW Part", 2011-2012, Less than weekly,195,33.5,14.2,52.9
 Males," Albury Wodonga Health Authority, NSW Part", 2011-2012, Weekly,195,39.7,17.6,61.8
 Males," Albury Wodonga Health Authority, NSW Part", 2011-2012, Daily,195,8.6,3.6,13.7
 Males," Albury Wodonga Health Authority, NSW Part", 2012-2013, Never,176,8.8,1.9,15.7
 Males," Albury Wodonga Health Authority, NSW Part", 2012-2013, Less than weekly,176,36.3,15.9,56.7
 Males," Albury Wodonga Health Authority, NSW Part", 2012-2013, Weekly,176,44,21.9,66
 Males," Albury Wodonga Health Authority, NSW Part", 2012-2013, Daily,176,10.9,4,17.9
 Males," Albury Wodonga Health Authority, NSW Part", 2013-2014, Never,188,13.4,5.3,21.5
 Males," Albury Wodonga Health Authority, NSW Part", 2013-2014, Less than weekly,188,30.6,17.8,43.3
 Males," Albury Wodonga Health Authority, NSW Part", 2013-2014, Weekly,188,40.6,28.7,52.5
 Males," Albury Wodonga Health Authority, NSW Part", 2013-2014, Daily,188,15.4,8.6,22.3
 Males," Albury Wodonga Health Authority, NSW Part", 2014-2015, Never,191,14.3,5.8,22.8
 Males," Albury Wodonga Health Authority, NSW Part", 2014-2015, Less than weekly,191,24,13.1,34.9
 Males," Albury Wodonga Health Authority, NSW Part", 2014-2015, Weekly,191,47.8,34.8,60.7
 Males," Albury Wodonga Health Authority, NSW Part", 2014-2015, Daily,191,13.9,2.8,25.1
 Males," Albury Wodonga Health Authority, NSW Part", 2015-2016, Never,187,15.6,4.5,26.6
 Males," Albury Wodonga Health Authority, NSW Part", 2015-2016, Less than weekly,187,34.8,18.9,50.6
 Males," Albury Wodonga Health Authority, NSW Part", 2015-2016, Weekly,187,35.8,22.1,49.5
 Males," Albury Wodonga Health Authority, NSW Part", 2015-2016, Daily,187,13.8,1.4,26.3
 Males," Albury Wodonga Health Authority, NSW Part", 2016-2017, Never,189,23.4,8.4,38.4
 Males," Albury Wodonga Health Authority, NSW Part", 2016-2017, Less than weekly,189,41.7,25.6,57.8
 Males," Albury Wodonga Health Authority, NSW Part", 2016-2017, Weekly,189,25.2,15,35.5
 Males," Albury Wodonga Health Authority, NSW Part", 2016-2017, Daily,189,9.7,2.6,16.8
 Males, All LHDs, 2002-2003, Never,"10,646",18.2,17.2,19.1
 Males, All LHDs, 2002-2003, Less than weekly,"10,646",22.6,21.5,23.6
 Males, All LHDs, 2002-2003, Weekly,"10,646",44.6,43.3,45.9
 Males, All LHDs, 2002-2003, Daily,"10,646",14.7,13.9,15.5
 Males, All LHDs, 2003-2004, Never,"9,344",19,17.9,20.1
 Males, All LHDs, 2003-2004, Less than weekly,"9,344",22.4,21.2,23.5
 Males, All LHDs, 2003-2004, Weekly,"9,344",43.2,41.9,44.6
 Males, All LHDs, 2003-2004, Daily,"9,344",15.4,14.5,16.4
 Males, All LHDs, 2004-2005, Never,"8,589",21.4,20.2,22.5
 Males, All LHDs, 2004-2005, Less than weekly,"8,589",21.6,20.4,22.8
 Males, All LHDs, 2004-2005, Weekly,"8,589",42.8,41.4,44.2
 Males, All LHDs, 2004-2005, Daily,"8,589",14.2,13.3,15.2
 Males, All LHDs, 2005-2006, Never,"7,813",23,21.8,24.2
 Males, All LHDs, 2005-2006, Less than weekly,"7,813",20.8,19.6,22
 Males, All LHDs, 2005-2006, Weekly,"7,813",42.8,41.4,44.3
 Males, All LHDs, 2005-2006, Daily,"7,813",13.4,12.5,14.2
 Males, All LHDs, 2006-2007, Never,"6,054",23.2,21.8,24.5
 Males, All LHDs, 2006-2007, Less than weekly,"6,054",21.6,20.2,23
 Males, All LHDs, 2006-2007, Weekly,"6,054",42.4,40.7,44
 Males, All LHDs, 2006-2007, Daily,"6,054",12.8,11.9,13.8
 Males, All LHDs, 2007-2008, Never,"6,229",23.2,21.8,24.5
 Males, All LHDs, 2007-2008, Less than weekly,"6,229",21,19.6,22.4
 Males, All LHDs, 2007-2008, Weekly,"6,229",43,41.4,44.6
 Males, All LHDs, 2007-2008, Daily,"6,229",12.8,11.9,13.8
 Males, All LHDs, 2008-2009, Never,"7,475",23.5,22.2,24.7
 Males, All LHDs, 2008-2009, Less than weekly,"7,475",20.7,19.4,22
 Males, All LHDs, 2008-2009, Weekly,"7,475",42.6,41.1,44.1
 Males, All LHDs, 2008-2009, Daily,"7,475",13.2,12.4,14.1
 Males, All LHDs, 2009-2010, Never,"7,924",24.5,23.2,25.8
 Males, All LHDs, 2009-2010, Less than weekly,"7,924",22.5,21.2,23.9
 Males, All LHDs, 2009-2010, Weekly,"7,924",40.4,38.9,42
 Males, All LHDs, 2009-2010, Daily,"7,924",12.5,11.7,13.3
 Males, All LHDs, 2010-2011, Never,"8,664",23.6,22.2,24.9
 Males, All LHDs, 2010-2011, Less than weekly,"8,664",23.8,22.4,25.3
 Males, All LHDs, 2010-2011, Weekly,"8,664",40.1,38.5,41.7
 Males, All LHDs, 2010-2011, Daily,"8,664",12.5,11.7,13.4
 Males, All LHDs, 2011-2012, Never,"10,220",23.8,22.2,25.4
 Males, All LHDs, 2011-2012, Less than weekly,"10,220",24.8,23,26.5
 Males, All LHDs, 2011-2012, Weekly,"10,220",39.4,37.6,41.1
 Males, All LHDs, 2011-2012, Daily,"10,220",12.1,11,13.1
 Males, All LHDs, 2012-2013, Never,"10,801",26.1,24.6,27.7
 Males, All LHDs, 2012-2013, Less than weekly,"10,801",24.6,23,26.2
 Males, All LHDs, 2012-2013, Weekly,"10,801",38.4,36.8,40
 Males, All LHDs, 2012-2013, Daily,"10,801",10.9,9.8,11.9
 Males, All LHDs, 2013-2014, Never,"10,640",27.2,25.9,28.5
 Males, All LHDs, 2013-2014, Less than weekly,"10,640",24.4,23.1,25.6
 Males, All LHDs, 2013-2014, Weekly,"10,640",38.3,36.9,39.7
 Males, All LHDs, 2013-2014, Daily,"10,640",10.1,9.4,10.9
 Males, All LHDs, 2014-2015, Never,"11,021",27,25.4,28.5
 Males, All LHDs, 2014-2015, Less than weekly,"11,021",24.5,23,25.9
 Males, All LHDs, 2014-2015, Weekly,"11,021",38.6,36.9,40.3
 Males, All LHDs, 2014-2015, Daily,"11,021",10,8.6,11.4
 Males, All LHDs, 2015-2016, Never,"11,335",25.5,23.9,27
 Males, All LHDs, 2015-2016, Less than weekly,"11,335",23.9,22.5,25.3
 Males, All LHDs, 2015-2016, Weekly,"11,335",40.6,38.9,42.2
 Males, All LHDs, 2015-2016, Daily,"11,335",10.1,8.8,11.5
 Males, All LHDs, 2016-2017, Never,"11,307",23.1,21.9,24.3
 Males, All LHDs, 2016-2017, Less than weekly,"11,307",24.3,23,25.5
 Males, All LHDs, 2016-2017, Weekly,"11,307",42.2,40.8,43.6
 Males, All LHDs, 2016-2017, Daily,"11,307",10.4,9.6,11.2
 Females, Sydney LHD, 2002-2003, Never,936,29.4,26.3,32.5
 Females, Sydney LHD, 2002-2003, Less than weekly,936,26.6,23.5,29.7
 Females, Sydney LHD, 2002-2003, Weekly,936,36.5,33.1,39.8
 Females, Sydney LHD, 2002-2003, Daily,936,7.5,5.8,9.2
 Females, Sydney LHD, 2003-2004, Never,755,32.4,28.8,36
 Females, Sydney LHD, 2003-2004, Less than weekly,755,23.9,20.5,27.2
 Females, Sydney LHD, 2003-2004, Weekly,755,36.7,32.9,40.4
 Females, Sydney LHD, 2003-2004, Daily,755,7.1,5.3,8.9
 Females, Sydney LHD, 2004-2005, Never,638,36.7,32.6,40.7
