 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Males, South Western Sydney LHD, 2005-2006, Less than weekly,549,23.7,19.6,27.7
 Males, South Western Sydney LHD, 2005-2006, Weekly,549,32,27.6,36.4
 Males, South Western Sydney LHD, 2005-2006, Daily,549,12.4,9.6,15.2
 Males, South Western Sydney LHD, 2006-2007, Never,489,32.2,27.4,37
 Males, South Western Sydney LHD, 2006-2007, Less than weekly,489,24.5,20,29
 Males, South Western Sydney LHD, 2006-2007, Weekly,489,30.9,26.1,35.8
 Males, South Western Sydney LHD, 2006-2007, Daily,489,12.4,9.3,15.5
 Males, South Western Sydney LHD, 2007-2008, Never,474,34,29,38.9
 Males, South Western Sydney LHD, 2007-2008, Less than weekly,474,22.8,18.4,27.3
 Males, South Western Sydney LHD, 2007-2008, Weekly,474,33.9,29,38.9
 Males, South Western Sydney LHD, 2007-2008, Daily,474,9.3,6.7,11.8
 Males, South Western Sydney LHD, 2008-2009, Never,552,32.1,27.6,36.6
 Males, South Western Sydney LHD, 2008-2009, Less than weekly,552,24.2,19.9,28.6
 Males, South Western Sydney LHD, 2008-2009, Weekly,552,34.3,29.7,39
 Males, South Western Sydney LHD, 2008-2009, Daily,552,9.3,7,11.7
 Males, South Western Sydney LHD, 2009-2010, Never,631,33.6,29.3,37.9
 Males, South Western Sydney LHD, 2009-2010, Less than weekly,631,25.2,20.9,29.5
 Males, South Western Sydney LHD, 2009-2010, Weekly,631,32.8,28.4,37.1
 Males, South Western Sydney LHD, 2009-2010, Daily,631,8.4,6.4,10.5
 Males, South Western Sydney LHD, 2010-2011, Never,630,30.4,26.1,34.7
 Males, South Western Sydney LHD, 2010-2011, Less than weekly,630,27.5,22.8,32.1
 Males, South Western Sydney LHD, 2010-2011, Weekly,630,33.8,29.3,38.3
 Males, South Western Sydney LHD, 2010-2011, Daily,630,8.3,6.1,10.6
 Males, South Western Sydney LHD, 2011-2012, Never,742,33.8,26.5,41.2
 Males, South Western Sydney LHD, 2011-2012, Less than weekly,742,31.5,24.8,38.2
 Males, South Western Sydney LHD, 2011-2012, Weekly,742,26.4,21.6,31.2
 Males, South Western Sydney LHD, 2011-2012, Daily,742,8.3,5.6,11.1
 Males, South Western Sydney LHD, 2012-2013, Never,906,38.1,31.3,45
 Males, South Western Sydney LHD, 2012-2013, Less than weekly,906,30.8,24.7,37
 Males, South Western Sydney LHD, 2012-2013, Weekly,906,23.3,19.2,27.4
 Males, South Western Sydney LHD, 2012-2013, Daily,906,7.7,5.2,10.3
 Males, South Western Sydney LHD, 2013-2014, Never,916,37.8,33.8,41.9
 Males, South Western Sydney LHD, 2013-2014, Less than weekly,916,27.4,23.9,31
 Males, South Western Sydney LHD, 2013-2014, Weekly,916,27.9,24.3,31.6
 Males, South Western Sydney LHD, 2013-2014, Daily,916,6.8,4.9,8.7
 Males, South Western Sydney LHD, 2014-2015, Never,840,40.7,35.5,45.9
 Males, South Western Sydney LHD, 2014-2015, Less than weekly,840,24.6,20.5,28.7
 Males, South Western Sydney LHD, 2014-2015, Weekly,840,29.5,24.5,34.6
 Males, South Western Sydney LHD, 2014-2015, Daily,840,5.1,3.5,6.7
 Males, South Western Sydney LHD, 2015-2016, Never,793,39.2,34,44.4
 Males, South Western Sydney LHD, 2015-2016, Less than weekly,793,25,20.7,29.2
 Males, South Western Sydney LHD, 2015-2016, Weekly,793,29.5,24.5,34.6
 Males, South Western Sydney LHD, 2015-2016, Daily,793,6.3,4.4,8.2
 Males, South Western Sydney LHD, 2016-2017, Never,811,37.8,33.5,42.1
 Males, South Western Sydney LHD, 2016-2017, Less than weekly,811,25.9,22.1,29.8
 Males, South Western Sydney LHD, 2016-2017, Weekly,811,28.5,24.7,32.3
 Males, South Western Sydney LHD, 2016-2017, Daily,811,7.7,5.6,9.8
