LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,,Dec-14,,Mar-15,,Jun-15,,Sep-15,,Dec-15,,Mar-16,,,Jun-16,,Sep-16,,Dec-16,,Mar-17,,Jun-17,
Sydney,150,,150,,152.5,,150,,150,,150,,150,,150,,155,,160,,155,,155,,160,,160,,160,,160,,160,,165,,170,,170,,175,,180,,185,,200,,190,,200,,215,,215,,210,,200.75,,220,,230,,225,,230,,240,,250,,250,,260,,260,,280,,280,,295,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,310,,310,,310,,320,,320,,330,,330,,330,,340,,350,,350,,350,,360,,370,,370,,380,,400,,410,,420,,420,,420,,420,,425,,430,,450,,450,,460,,460,,470,,490,,480,,500,,500,,500,,500,,500,,500,,510,,510,,520,,530,,540,,520,,520,,530,,525,,520,,535,,530,,,540, ,530, ,550,,550,,580,
Waverley,150,,150,,150,,150,,150,,155,,150,,150,,155,,155,,155,,150,,160,,155,,155,,155,,160,,165,,165,,170,,175,,180,,180,,180,,190,,190,,190,,200,,200,,200,,210,,210,,215,,220,,220,,230,,230,,230,,235,,250,,250,,255,,250,,272.5,,260,,270,,255,,260,,260,,270,,260,,280,,280,,270,,270,,290,,280,,275,,270,,300,,300,,290,,300,,300,,300,,300,,300,,320,,330,,330,,330,,365,,360,,380,,370,,400,,400,,400,,395,,415,,425,,420,,412.5,,440,,450,,450,,450,,495,,460,,485,,470,,500,,500,,492.5,,480,,522.5,,500,,500,,492.5,,525,,510,,515,,500,,550,,560,,,550, ,550, ,600,,600,,600,
Woollahra,170,,175,,170,,165,,170,,170,,170,,170,,165,,170,,175,,174,,170,,180,,170,,175,,175,,180,,185,,190,,190,,190,,195,,200,,205,,210,,215,,210,,220,,220,,230,,230,,232.5,,235,,240,,250,,250,,250,,260,,262.5,,275,,285,,285,,290,,290,,295,,320,,340,,320,,315,,297.5,,285,,280,,290,,280,,290,,287.5,,280,,277.5,,280,,290,,290,,300,,310,,300,,300,,330,,320,,327.5,,350,,335,,365,,370,,380,,390,,395,,400,,400,,400,,387.5,,410,,420,,420,,430,,450,,450,,460,,450,,450,,477.5,,450,,460,,460,,480,,472.5,,495,,485,,480,,477.5,,490,,480,,480,,480,,505,,495,,,505, ,490, ,522.5,,500,,535,
Middle Ring,125,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,135,,140,,140,,140,,140,,145,,145,,145,,150,,150,,150,,150,,150,,155,,155,,160,,160,,165,,165,,170,,180,,185,,185,,195,,190,,190,,200,,200,,195,,190,,215,,200,,210,,210,,210,,220,,210,,220,,230,,230,,242.5,,235,,250,,240,,250,,260,,260,,270,,270,,275,,290,,300,,320,,330,,320,,320,,330,,330,,350,,330,,350,,360,,350,,360,,340,,360,,380,,375,,380,,375,,390,,390,,400,,400,,400,,412.5,,420,,430,,430,,430,,450,,450,,440,,450,,450,,,460, ,470, ,460,,465,,480,
Auburn,102.5,s,115,s,110,s,110,s,100,s,110,,110,,115,,115,,105,s,110,,110,,110,,100,,110,,110,,110,,110,,110,,110,,110,,115,,110,,115,s,115,,120,,120,,130,,120,,125,,125,,125,,130,,125,,125,,130,s,130,,130,,135,,135,,145,,145,,145,,140,,142.5,,150,,140,,145,s,150,,142.5,,140,,140,,140,,140,,140,,150,,145,s,200,,177.5,,205,,200,,170,,200,,200,,290,,180,,175,,300,,300,,300,,330,,345,,330,,360,,350,,330,,365,,360,,365,,370,,320,,320,,390,,385,,385,,390,,400,,400,,410,,430,,410,,410,,410,,420,,417.5,,420,,410,,430,,420,,425,,435,,450,,440,,450,,450,,,462.5, ,460, ,450,,460,,470,
Bankstown,110,s,110,s,120,s,110,s,115,,110,s,110,s,100,s,120,s,102.5,s,120,s,110,,110,s,100,s,110,s,110,s,110,s,112.5,s,110,,120,s,100,s,130,s,120,s,110,s,130,s,135,,127.5,s,120,s,120,s,120,s,120,,120,,110,,115,s,120,,130,,120,s,120,,120,,130,s,120,,130,,135,,145,s,135,s,130,,137.5,,130,,140,s,120,s,132.5,s,130,,125,s,135,s,125,,135,,132.5,s,130,,142.5,s,120,s,132.5,s,155,s,155,s,155,s,157.5,s,145,s,153.5,s,157,s,160,s,177.5,s,157,,177.5,s,185,s,165,s,190,s,205,s,180,,210,,210,,180,,180,,252.5,s,220,s,180,,150,,200,,200,,210,,205,,220,,220,s,200,,248.38,,240,,250,,245,,260,,260,,280,,275,,270,,250,,250,,250,,280,,,270, ,290, ,290,,300,,300,
Burwood,115,,120,,125,,130,,127.5,,122.5,,135,,120,,130,,127.5,,130,,135,,115,,140,,120,,120,,120,,120,,120,,130,,135,,130,,125,,145,,140,,135,,142.5,,140,,150,,150,,155,,160,,160,,165,,170,,160,,170,,162.5,,167.5,,170,,180,,180,,180,,190,,180,,182.5,,180,,190,,200,,180,,190,,190,,190,,180,,190,,192.5,,180,,192.5,,190,,192.5,,200,,200,,200,,212.5,,200,,210,,220,,220,,245,,220,,220,,225,,230,s,262.5,,270,,280,,285,,277.5,,300,,240,,295,,285,,292.5,,300,s,300,,285,,310,,330,,350,,360,,350,,350,,370,,360,,460,,415,,390,,405,,435,,410,,425,,392.5,,390,,410,,400,,,500, ,495, ,445,,432.5,,440,
Canterbury,112.5,,115,,120,,115,,115,,120,,115,,115,,115,,115,,110,,115,,112.5,,110,,110,,110,,110,,110,,110,,110,,115,,120,,120,,125,,120,,125,,130,,125,,125,,130,,130,,130,,135,,135,,135,,140,,135,,135,,140,,140,,140,,145,,150,,150,,145,,150,,150,,145,,145,,145,,150,,145,,150,,145,,145,,145,,150,,150,,150,,140,,150,,150,,155,,155,,150,,150,,160,,170,,175,,170,,187.5,,195,,200,,215,,220,,230,,230,,225,,245,,240,,240,,260,,250,,265,,260,,270,,260,,280,,280,,280,,280,,280,,280,,295,,300,,300,,295,,300,,300,,320,,300,,330,,330,,330,,320,,,320, ,410, ,350,,420,,392.5,
Canada Bay,130,s,140,,140,s,140,s,142.5,,122.5,,140,,140,s,135,,140,,140,,140,s,135,,140,s,130,s,135,s,133.5,,137.5,s,140,s,140,s,140,,140,s,150,,140,s,165,,155,s,165,s,165,,155,,157.5,,192.5,,190,s,170,s,165,,180,s,180,,180,,200,s,170,s,210,,190,,210,s,190,,230,,200,,190,s,220,,260,,217.5,,270,,270,,235,s,277.5,,275,,300,,290,,300,,280,,270,,280,,270,,297.5,,300,,277.5,,310,,307.5,,320,,340,,340,,350,,370,,370,,400,,390,,397.5,,400,,420,,400,,410,,420,,420,,430,,440,,442.5,,400,,465,,470,,460,,480,,475,,460,,470,,470,,477.5,,490,,480,,482.5,,500,,500,,510,,500,,510,,510,,500,,520,,,530, ,533, ,530,,535,,530,
Hunters Hill,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,140,s,-,,-,,-,,-,,-,,165,s,-,,-,,-,,-,,170,s,160,s,-,,155,s,-,,175,s,170,s,180,s,225,s,-,,-,,190,s,-,,-,,-,,200,s,-,,-,,-,,-,,-,,-,,-,,-,,202.5,s,-,,222.5,s,285,s,260,s,260,s,-,,277.5,s,210,s,252.5,s,-,,240,s,235,s,-,,220,s,-,,300,s,-,,-,,320,s,280,s,300,s,-,,290,s,355,s,320,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,0,-,,-,,-,,-,,-,,-,,-,,435,s,360,s,392.5,s,400,s,395,s,360,s,-,,,-, ,-, ,-,,450,s,-,
Hurstville,120,,122.5,,120,,120,,130,,130,,125,,130,,125,,130,,125,,125,,125,,125,,130,,130,,127.5,,130,,130,,135,,130,,135,,140,,140,,137.5,,142.5,,142.5,,145,,145,,150,,150,,150,,150,,150,,150,,155,,150,,155,,165,,160,,155,,165,,170,,165,,170,,170,,180,,170,,177.5,,175,,177.5,,185,,175,,175,,170,,185,,180,,195,,187.5,,190,,190,,180,,190,,195,,200,,195,,210,,225,,225,,220,,222.5,,210,,230,,265,,260,,280,,250,,280,,290,,290,,280,,280,,290,,320,,300,,300,,290,,300,,290,,300,,300,,300,,310,,330,,330,,380,,400,,360,,400,,375,,390,,385,,360,,400,,400,,,400, ,440, ,405,,425,,405,
Kogarah,130,s,122.5,s,130,s,122.5,s,130,,125,s,125,,125,s,120,,125,s,125,s,122.5,s,125,s,125,s,125,s,120,s,125,,125,,120,,127.5,s,130,s,140,s,130,s,130,s,130,s,-,,140,,140,s,145,s,145,s,150,,145,s,145,s,145,s,145,,150,s,155,,155,s,160,,167.5,,167.5,s,175,,180,,167.5,,182.5,,177.5,s,170,s,185,,175,s,177.5,,165,s,175,s,230,,195,,200,,200,,187.5,,207.5,s,192.5,,185,,180,,190,,210,,210,s,250,s,260,,215,s,260,,245,s,230,,240,,280,s,240,s,295,s,250,s,272.5,s,320,s,280,s,287.5,s,270,s,300,s,310,s,300,s,300,s,307.5,s,295,s,300,s,330,s,300,s,350,s,370,s,315,,335,s,375,s,350,s,310,,350,s,350,s,350,s,330,,400,,405,,385,,400,,395,,,400, ,390,s,412.5,,415,,420,
Ku-Ring-Gai,150,s,150,s,115,s,150,s,150,s,140,s,155,s,145,s,145,s,150,s,152.5,s,150,s,150,s,150,s,147.5,s,155,s,155,,165,s,150,s,160,s,150,s,150,s,157.5,s,162.5,s,160,s,175,s,165,s,180,s,180,s,185,s,165,s,185,s,190,s,180,s,200,s,195,s,187.5,,197.5,s,200,,210,s,230,,227.5,,225,s,237.5,s,237.5,,235,,235,s,220,,265,s,225,,210,s,250,s,240,s,235,s,230,s,240,s,225,s,245,s,210,s,250,s,240,s,260,,245,s,260,s,255,s,260,s,265,s,260,s,250,s,275,s,275,s,287.5,s,280,s,335,s,305,s,320,s,335,,370,,325,,380,,380,,390,,350,,385,,410,,470,,445,,420,,470,,450,,450,,440,,460,,472.5,,467.5,,460,,475,,465,,460,,480,,470,,480,,475,,485,,500,,,500, ,485, ,485,,500,,500,
Manly,150,,150,,150,,155,,155,,150,,150,,155,,150,,150,,150,,150,,155,,150,,160,,160,,165,,170,,160,,170,,170,,170,,180,,180,,180,,175,,190,,190,,197.5,,200,,200,,200,,210,,230,,230,,235,,240,,240,,250,,260,,272.5,,275,,275,,295,,300,,280,,275,,290,,300,,295,,300,,300,,300,,300,,300,,300,,300,,300,,280,,320,,320,,315,,310,,320,,330,,320,,325,,350,,350,,350,,350,,375,,375,,385,,390,,400,,400,,390,,380,,410,,435,,440,,430,,450,,450,,450,,450,,450,,480,,475,,460,,477.5,,500,,500,,480,,500,,527.5,,527.5,,500,,530,,530,,530,,525,,530,,560,,,577.5, ,550, ,590,,600,,560,
Parramatta,120,,120,,120,,120,,117.5,,125,,120,,120,,125,,120,,115,,120,,115,,120,,125,,120,,120,,130,,120,,125,,125,,125,,125,,125,,130,,130,,135,,130,,140,,140,,140,,140,,145,,145,,125,,135,,125,,150,,135,,150,,155,,155,,160,,150,,157.5,,160,,165,,170,,165,,165,,170,,165,,180,,170,,167.5,,187.5,,197.5,,185,,180,,190,,200,,205,,200,,200,,190,,200,,210,,200,,220,,210,,222.5,,230,,250,,265,,270,,270,,260,,280,,310,,300,,300,,320,,320,,310,,330,,330,,320,,320,,325,,340,,310,,320,,350,,337.5,,335,,350,,332.5,,380,,347.5,,362.5,,355,,345,,370,,400,,380,,,375, ,400, ,400,,410,,440,
Rockdale,135,,130,,130,,130,,135,,130,,130,,130,,130,,130,,135,,130,,130,,125,,130,,130,,130,,135,,135,,130,,130,,140,,140,,145,,140,,150,,140,,145,,150,,150,,145,,150,,145,,150,,155,,155,,160,,160,,165,,160,,165,,170,,180,,170,,175,,180,,190,,175,,180,,180,,175,,180,,185,,180,,185,,185,,200,,200,,225,,220,,205,,200,,220,,200,,230,,210,,230,,230,,260,,240,,260,,282.5,,270,,320,,282.5,,290,,325,,305,,300,,300,,300,,330,,330,,330,,320,,350,,320,,410,,350,,350,,390,,360,,360,,395,,360,,360,,382.5,,410,,410,,450,,450,,450,,422.5,,460,,460,,,470, ,480, ,460,,497.5,,490,
Ryde,125,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,130,,125,,130,,125,,125,,130,,130,,130,,130,,135,,135,,140,,140,,140,,145,,145,,145,,150,,150,,150,,155,,155,,160,,160,,155,,160,,162.5,,165,,170,,170,,175,,180,,180,,185,,180,,180,,175,,180,,180,,185,,180,,180,,185,,190,,185,,180,,185,,190,,190,,192.5,,190,,200,,195,,200,,200,,210,,210,,220,,220,,230,,240,,260,,260,,272.5,,280,,270,,275,,280,,285,,290,,300,,300,,310,,320,,320,,335,,320,,330,,325,,350,,345,,350,,340,,360,,360,,370,,420,,400,,400,,460,,450,,460,,470,,450,,,450, ,470, ,450,,460,,490,
Strathfield,120,s,125,s,127.5,s,132,s,125,s,140,s,130,s,135,s,132.5,s,125,s,130,s,130,s,130,s,130,s,122.5,s,130,s,130,s,145,s,130,s,135,s,135,,112.5,s,142.5,s,130,s,140,s,152.5,s,-,,-,,152.5,s,160,s,145,s,160,s,160,s,160,s,150,s,160,s,150,s,260,,200,s,180,s,185,s,250,s,220,,290,,260,,200,,220,,240,s,220,,210,,250,,270,s,270,,250,,225,,280,,200,,250,,240,,240,,240,,250,,220,,260,,250,,255,s,260,,260,,270,,270,,250,,280,,300,,310,,315,,330,,310,s,325,,340,s,320,,360,,365,,340,,350,s,320,,360,,380,,350,,370,,365,,372.5,s,380,,380,s,390,,385,,380,,385,s,400,,380,,390,,400,,395,,400,,420,,430,,,440, ,430, ,460,,450,,450,
Willoughby,170,,160,,165,,167.5,,162.5,,160,,170,,160,,160,,165,,160,,165,,165,,160,,155,,170,,165,,160,,167.5,,175,,180,,192.5,,190,,190,,195,,210,,200,,210,,230,,227.5,,220,,220,,230,,230,,230,,230,,230,,240,,250,,250,,310,,330,,300,,310,,315,,320,,320,,310,,320,,320,,315,,330,,330,,340,,330,,327.5,,320,,340,,330,,320,,340,,340,,345,,330,,350,,350,,350,,350,,365,,380,,380,,400,,410,,407.5,,420,,430,,430,,440,,430,,435,,440,,450,,455,,450,,460,,460,,475,,480,,475,,480,,480,,485,,485,,500,,490,,500,,470,,500,,525,,500,,515,,515,,530,,527.5,,512.5,,,540, ,560, ,550,,560,,580,
Outer Ring,110,,115,,110,,115,,110,,110,,117,,115,,115,,120,,120,,120,,115,,120,,115,,120,,120,,120,,120,,120,,120,,120,,125,,125,,125,,130,,130,,130,,130,,135,,135,,135,,135,,140,,129,,135,,130,,140,,150,,150,,150,,150,,155,,160,,150,,155,,150,,155,,155,,160,,150,,155,,160,,160,,160,,175,,160,,170,,170,,170,,170,,180,,175,,185,,180,,190,,190,,185,,190,,200,,200,,210,,210,,220,,220,,230,,225,,235,,240,,240,,250,,250,,250,,250,,260,,260,,260,,280,,265,,280,,285,,280,,282,,300,,280,,290,,300,,300,,300,,300,,302.5,,310,,320,,320,,320,,,330, ,330, ,350,,350,,352.5,
The Hills Shire,125,s,-,,112.5,s,127.5,s,115,s,125,s,120,s,90,s,110,s,115,s,130,s,100,s,110,s,110,s,120,s,115,s,130,s,125,s,125,s,100,s,120,s,130,s,-,,135,s,120,s,122.5,s,137.5,s,135,s,130,s,145,s,140,s,135,s,140,s,130,s,145,s,140,s,125,s,150,s,150,s,150,s,150,s,160,s,160,s,170,s,162.5,s,150,s,170,s,145,s,165,s,170,s,165,s,170,,172.2,s,170,s,162.5,s,170,s,150,,170,s,180,s,175,s,160,s,180,s,185,s,190,s,180,s,195,s,195,s,195,s,200,,200,s,220,,240,s,220,,270,s,290,s,227.5,,230,s,277.5,s,260,s,250,,265,,322.5,,310,,275,,295,,282.5,,310,,320,s,300,,310,,350,,305,,320,s,325,,350,,420,,330,,330,,410,,400,,395,,350,,402.5,,420,,410,,,395, ,410, ,450,,420,,440,
Blacktown,95,,95,,100,,95,,90,,100,,95,,100,,100,,95,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,110,,102.5,,100,,110,,110,,102.5,,100,,110,,110,,115,,110,,110,,105,,120,,115,,120,,115,,120,,130,,120,,125,,130,,130,,130,,120,,135,,140,,130,,140,,130,,140,,140,,130,,130,,140,,130,,140,,130,,140,,130,,150,,150,,150,,150,,150,,150,,150,,165,,160,,160,,160,,180,,180,,180,,180,,200,,197.5,,180,,200,,210,,215,,200,,195,,222.5,,225,,232.5,,230,,225,,245,,250,,240,,250,,247.5,,240,,250,,250,,240,,250,,250,,270,,250,,250,,267.5,,,270, ,290, ,275,,290,,280,
Blue Mountains,90,,100,,92.5,,87.5,,85,,90,,98,,92,,95,,95,,95,,95,,100,,100,,100,,100,,100,,100,,97.5,,105,,105,,110,,105,,110,,105,,110,,105,,120,,105,,110,,110,,110,,110,,110,,110,,125,,120,,125,,125,,125,,130,,125,,135,,145,,130,,140,,135,,140,,140,,140,,137.5,,150,s,140,,140,,145,,142.5,,150,,150,,145,,150,,150,,147.5,,150,,150,,155,,150,,145,,150,,155,,160,,160,,150,,157.5,,170,,185,,170,,190,,190,,190,,190,,195,,205,,190,,200,,200,,197.5,,210,,205,,220,,200,,210,,220,,230,,210,s,235,,250,,240,,250,,240,,250,,245,,250,,250,,252.5,,260,,,270, ,278,s,292.5,,260,,290,
